Index de l'Etat 4001;Ain;Aisne;Allier;Alpes-de-Haute-Provence;Hautes-Alpes;Alpes-Maritimes;Ardèche;Ardennes;Ariège;Aube;Aude;Aveyron;Bouches-du-Rhône;Calvados;Cantal;Charente;Charente-Maritime;Cher;Corrèze;Côte-d'Or;Côtes-d'Armor;Creuse;Dordogne;Doubs;Drôme;Eure;Eure-et-Loir;Finistère;Corse-du-Sud;Haute-Corse;Gard;Haute-Garonne;Gers;Gironde;Hérault;Ille-et-Vilaine;Indre;Indre-et-Loire;Isère;Jura;Landes;Loir-et-Cher;Loire;Haute-Loire;Loire-Atlantique;Loiret;Lot;Lot-et-Garonne;Lozère;Maine-et-Loire;Manche;Marne;Haute-Marne;Mayenne;Meurthe-et-Moselle;Meuse;Morbihan;Moselle;Nièvre;Nord;Oise;Orne;Pas-de-Calais;Puy-de-Dôme;Pyrénées-Atlantiques;Hautes-Pyrénées;Pyrénées-Orientales;Bas-Rhin;Haut-Rhin;Rhône;Haute-Saône;Saône-et-Loire;Sarthe;Savoie;Haute-Savoie;Paris;Seine-Maritime;Seine-et-Marne;Yvelines;Deux-Sèvres;Somme;Tarn;Tarn-et-Garonne;Var;Vaucluse;Vendée;Vienne;Haute-Vienne;Vosges;Yonne;Territoire de Belfort;Essonne;Hauts-de-Seine;Seine-Saint-Denis;Val-de-Marne;Val-d'Oise;
Règlements de compte entre malfaiteurs;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;
Homicides pour voler et à l'occasion de vols;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Homicides pour d'autres motifs;1;0;0;0;0;3;0;1;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;2;0;2;0;1;3;2;0;4;1;1;0;0;1;0;1;0;1;0;1;0;1;1;0;0;0;1;0;0;1;0;0;3;0;2;0;0;1;0;0;1;0;0;2;1;0;0;0;0;1;2;1;1;1;0;1;0;0;4;0;0;0;0;1;0;0;4;1;1;1;0;
Tentatives d'homicides pour voler et à l'occasion de vols;0;0;0;0;0;0;0;1;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;1;0;0;
Tentatives homicides pour d'autres motifs;0;1;0;0;0;1;0;0;0;0;0;1;2;1;0;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0;1;0;0;2;4;0;1;0;0;0;1;0;1;1;1;1;0;3;0;0;0;1;2;0;0;0;1;4;0;2;0;0;1;1;1;0;1;1;0;1;2;0;1;0;2;4;1;3;0;0;3;1;0;2;0;0;0;0;1;1;0;1;4;0;1;3;
Coups et blessures volontaires suivis de mort;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;2;0;0;0;0;1;0;1;0;0;0;0;0;1;0;2;1;0;1;3;0;0;0;2;0;1;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
Autres coups et blessures volontaires criminels ou correctionnels;43;48;29;14;24;183;18;40;4;34;29;10;141;51;3;20;67;28;9;37;36;3;16;53;53;55;33;70;10;20;71;45;9;121;129;58;13;60;74;11;35;19;43;10;91;55;7;31;7;47;30;50;16;7;79;23;44;118;16;245;68;19;145;43;54;14;57;99;100;124;28;30;44;46;58;403;124;144;122;5;95;14;13;175;51;51;14;18;36;23;19;118;95;207;96;173;
Prises d'otages à l'occasion de vols;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Prises d'otages dans un autre but;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
Séquestrations;0;1;0;0;1;2;0;0;0;0;0;0;5;1;0;0;0;0;1;0;1;0;0;1;0;1;1;2;0;0;0;2;0;4;1;0;0;1;0;0;0;0;0;0;2;1;0;2;0;0;0;0;0;0;0;0;0;1;3;3;1;0;0;0;0;0;0;0;3;2;0;0;1;1;3;8;0;0;1;0;1;1;0;1;1;0;4;0;0;0;0;3;2;1;0;2;
Menaces ou chantages pour extorsion de fonds;3;4;3;3;1;5;1;2;1;2;5;0;12;2;0;2;1;0;1;5;3;0;0;3;4;4;7;2;1;5;2;4;0;14;7;2;0;3;6;1;1;0;6;1;7;2;0;3;0;5;1;3;1;0;3;2;4;7;2;15;7;0;5;2;1;3;1;3;9;11;1;2;5;2;4;24;12;12;7;0;0;3;1;13;3;1;3;2;0;1;3;7;11;5;7;7;
Menaces ou chantages dans un autre but;8;21;4;9;8;82;19;8;4;6;11;4;95;19;2;5;9;6;2;20;8;3;10;10;18;14;13;20;11;13;24;21;3;26;64;11;6;26;33;5;10;0;9;5;29;32;1;11;4;21;7;23;1;5;9;16;11;32;5;69;29;7;34;32;16;9;25;38;35;36;12;10;7;14;18;74;32;58;55;2;42;6;8;50;25;16;6;5;9;5;5;32;42;55;31;40;
