Index de l'Etat 4001;Ain;Aisne;Allier;Alpes-de-Haute-Provence;Hautes-Alpes;Alpes-Maritimes;Ardèche;Ardennes;Ariège;Aube;Aude;Aveyron;Bouches-du-Rhône;Calvados;Cantal;Charente;Charente-Maritime;Cher;Corrèze;Côte-d'Or;Côtes-d'Armor;Creuse;Dordogne;Doubs;Drôme;Eure;Eure-et-Loir;Finistère;Corse-du-Sud;Haute-Corse;Gard;Haute-Garonne;Gers;Gironde;Hérault;Ille-et-Vilaine;Indre;Indre-et-Loire;Isère;Jura;Landes;Loir-et-Cher;Loire;Haute-Loire;Loire-Atlantique;Loiret;Lot;Lot-et-Garonne;Lozère;Maine-et-Loire;Manche;Marne;Haute-Marne;Mayenne;Meurthe-et-Moselle;Meuse;Morbihan;Moselle;Nièvre;Nord;Oise;Orne;Pas-de-Calais;Puy-de-Dôme;Pyrénées-Atlantiques;Hautes-Pyrénées;Pyrénées-Orientales;Bas-Rhin;Haut-Rhin;Rhône;Haute-Saône;Saône-et-Loire;Sarthe;Savoie;Haute-Savoie;Paris;Seine-Maritime;Seine-et-Marne;Yvelines;Deux-Sèvres;Somme;Tarn;Tarn-et-Garonne;Var;Vaucluse;Vendée;Vienne;Haute-Vienne;Vosges;Yonne;Territoire de Belfort;Essonne;Hauts-de-Seine;Seine-Saint-Denis;Val-de-Marne;Val-d'Oise;
Règlements de compte entre malfaiteurs;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Homicides pour voler et à l'occasion de vols;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Homicides pour d'autres motifs;0;2;0;1;0;0;0;0;0;1;0;0;4;1;0;0;1;0;0;1;0;0;0;1;1;1;0;1;1;0;1;1;1;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;3;0;0;5;1;0;0;1;0;0;2;0;1;1;0;0;3;2;3;1;0;1;0;0;1;0;0;1;0;0;0;0;0;4;4;2;2;
Tentatives d'homicides pour voler et à l'occasion de vols;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Tentatives homicides pour d'autres motifs;0;0;0;0;1;4;1;1;0;0;0;0;2;0;0;0;0;1;0;1;0;0;2;4;1;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;2;0;3;1;0;1;0;0;0;0;4;0;4;0;1;0;1;1;1;0;2;1;0;1;1;1;1;3;0;1;1;0;0;0;3;9;15;3;2;
Coups et blessures volontaires suivis de mort;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;2;0;0;0;0;1;1;0;0;0;
Autres coups et blessures volontaires criminels ou correctionnels;44;67;24;6;8;152;12;37;6;55;35;14;235;77;2;18;42;27;23;43;33;10;14;87;56;61;50;103;25;20;60;125;8;109;93;77;20;65;148;11;15;36;88;19;137;118;17;33;5;67;36;105;18;16;83;25;32;117;23;311;108;37;188;78;37;18;48;157;87;187;44;38;53;39;58;454;122;253;232;10;96;43;18;150;41;36;16;33;29;41;25;200;248;466;216;290;
Prises d'otages à l'occasion de vols;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;
Prises d'otages dans un autre but;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Séquestrations;1;1;0;2;0;2;0;0;0;0;0;0;4;0;0;1;1;0;0;2;0;0;0;0;2;2;1;0;0;0;2;0;0;0;0;2;0;1;0;0;0;0;3;0;2;3;0;0;0;2;1;2;0;1;1;0;0;0;0;6;1;0;2;1;0;0;1;3;2;4;0;0;1;0;1;8;4;4;6;0;0;0;0;0;3;0;1;0;0;0;0;1;2;7;4;6;
Menaces ou chantages pour extorsion de fonds;7;6;5;0;1;14;3;3;0;3;0;1;18;4;0;5;0;0;2;9;6;0;3;9;5;2;9;9;3;0;4;7;4;9;5;9;0;4;9;2;0;1;4;2;10;7;1;1;0;8;2;5;1;2;11;1;2;7;2;22;13;0;14;6;2;0;3;10;12;11;3;6;3;3;5;47;9;26;26;0;2;7;1;13;5;2;5;3;1;5;0;10;38;12;19;26;
Menaces ou chantages dans un autre but;15;24;16;9;6;76;1;9;4;18;9;3;170;18;1;4;16;18;8;25;9;6;5;31;30;29;21;29;5;6;18;32;2;52;86;33;17;27;66;16;12;4;17;7;23;38;2;11;1;19;10;23;6;9;11;8;17;44;1;169;35;8;60;32;29;8;22;86;56;107;11;10;15;13;27;134;81;67;93;4;29;20;3;60;26;20;11;14;12;26;8;47;110;114;58;128;
Atteintes à la dignité et à la  personnalité;2;8;7;4;5;20;5;7;6;9;6;1;25;8;2;4;5;11;1;15;5;4;3;9;6;8;8;7;2;1;7;11;2;14;14;6;11;12;15;5;2;3;11;3;9;13;3;4;0;14;7;7;1;2;13;1;6;18;4;76;16;5;20;13;5;9;6;25;43;24;3;7;6;6;12;44;33;26;21;1;16;6;0;22;4;6;5;9;8;8;3;14;15;29;12;31;
Violations de domicile;4;6;1;2;5;19;3;1;3;2;5;2;8;4;2;4;6;4;1;1;4;2;2;8;3;17;5;10;1;0;8;4;3;8;6;2;1;2;10;1;3;3;9;3;7;8;1;3;3;4;15;1;3;0;5;1;2;4;0;24;6;3;8;4;4;2;4;8;13;5;2;2;3;5;2;20;8;7;4;1;2;5;1;11;2;7;6;0;5;3;2;6;7;15;4;19;
Vols à main armée contre des établissements financiers;1;0;0;2;0;4;2;0;1;2;1;0;0;3;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;1;2;0;0;4;4;0;0;2;1;0;0;1;6;2;0;0;0;0;1;0;0;1;1;0;0;0;2;2;0;3;0;0;0;0;0;0;0;3;0;6;0;1;1;0;1;10;1;1;0;0;0;0;1;0;1;1;0;0;2;0;0;1;5;3;10;2;
Vols à main armée contre des établissements industriels ou commerciaux;1;0;1;0;0;5;0;0;0;2;1;0;18;1;0;0;0;0;0;6;0;0;0;1;3;0;2;1;4;3;2;10;0;1;2;0;0;0;1;1;0;0;11;1;1;0;0;0;0;0;0;0;0;0;2;0;0;3;1;9;2;0;6;0;0;0;0;1;0;20;0;1;0;0;2;27;3;8;13;2;0;1;1;2;3;1;1;0;2;1;0;6;9;7;16;2;
Vols à main armée contre des entreprises de transports de fonds;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Vols à main armée contre des particuliers à leur domicile;0;0;0;0;0;6;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;1;5;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;2;0;2;0;0;0;0;0;6;3;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;3;0;2;0;
Autres vols à main armée;2;1;0;0;0;6;0;0;0;2;1;0;23;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;3;0;6;4;0;3;4;3;0;0;2;1;0;1;1;0;2;3;0;0;0;1;0;0;0;0;3;0;1;0;0;3;2;0;5;0;1;1;2;1;1;9;0;1;1;0;4;26;4;3;5;1;0;0;0;2;3;0;0;0;0;0;0;5;15;12;11;2;
Vols avec armes blanches contre des établissements financiers, commerciaux ou industriels;0;0;0;0;0;2;0;0;0;1;0;1;1;3;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;2;6;0;3;2;1;0;0;0;0;0;0;2;0;5;1;0;0;0;1;0;1;0;0;3;0;0;1;0;3;0;0;5;0;0;0;0;4;3;2;0;0;1;1;0;3;0;1;3;0;1;0;1;0;0;0;1;0;0;0;0;1;4;5;7;2;
Vols avec armes blanches contre des particuliers à leur domicile;0;0;0;0;0;2;0;0;0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;2;0;1;1;0;1;0;0;1;1;0;0;0;2;0;0;0;2;0;0;1;3;0;0;2;0;0;4;0;0;2;0;0;9;3;2;2;0;1;0;0;0;0;0;1;0;0;0;0;2;1;2;4;5;
Autres vols avec armes blanches;3;4;1;0;0;21;0;0;2;3;2;0;32;6;0;0;1;2;1;9;2;0;0;2;4;1;0;6;0;0;7;18;0;31;20;5;1;3;14;0;0;1;3;0;21;10;0;1;0;3;1;8;2;0;11;2;1;13;2;48;17;0;5;3;2;0;7;17;14;27;0;1;0;2;1;161;23;20;34;0;11;1;2;3;7;1;6;0;1;1;1;25;40;41;38;59;
Vols violents sans arme contre des établissements financiers, commerciaux ou industriels;0;1;0;0;0;0;0;0;0;2;0;0;1;1;0;1;1;0;0;0;2;0;0;1;1;0;0;0;0;0;1;1;0;2;1;1;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;0;0;0;1;0;0;1;0;6;0;0;4;0;0;0;0;3;1;5;0;0;0;0;0;9;2;5;2;0;1;0;1;0;1;0;0;1;0;0;0;2;3;5;4;2;
Vols violents sans arme contre des particuliers à leur domicile;1;1;1;0;0;4;0;0;0;2;0;0;5;1;0;0;2;2;0;4;1;0;0;3;2;0;1;2;0;0;0;2;1;1;5;5;0;2;0;1;0;0;1;0;3;0;0;0;0;2;1;0;0;0;2;1;1;1;1;11;2;0;3;0;2;0;1;0;2;6;0;0;1;0;2;11;2;1;2;2;2;0;0;1;0;0;1;0;0;0;0;0;0;5;2;0;
Vols violents sans arme contre des femmes sur voie publique ou autre lieu public;4;6;6;0;2;182;0;4;0;5;12;1;143;4;2;3;6;3;3;2;1;0;4;8;7;20;6;20;1;1;47;39;0;47;38;11;0;8;26;0;3;9;26;2;27;15;1;4;0;5;4;27;2;4;18;2;7;21;1;122;14;2;42;7;26;2;21;36;7;69;2;7;9;8;5;416;53;45;55;1;8;4;3;31;21;4;2;5;4;8;3;40;147;259;103;111;
Vols violents sans arme contre d'autres victimes;5;9;4;1;1;79;2;9;0;12;4;2;132;8;1;3;8;8;1;14;3;2;4;15;10;14;23;11;0;0;22;52;2;53;44;21;2;13;32;2;4;12;18;1;51;28;2;8;0;14;5;45;2;11;19;2;3;38;3;147;34;1;39;20;7;5;10;55;16;88;3;9;14;6;12;628;55;73;112;4;20;5;4;45;22;3;2;4;1;7;2;90;138;268;128;154;
Cambriolages de locaux d'habitations principales;68;61;54;20;5;499;22;22;22;41;76;11;610;78;5;46;68;53;16;47;26;7;55;69;81;123;111;105;19;7;238;354;10;308;413;63;27;59;203;14;35;55;150;16;235;155;8;69;4;97;30;88;17;38;110;15;61;105;18;775;129;20;275;71;88;35;103;289;62;462;27;47;54;65;117;1 710;215;311;330;24;128;34;42;289;165;39;52;33;29;48;14;254;347;379;440;453;
Cambriolages de résidences secondaires;21;33;13;20;5;117;12;11;14;11;25;17;35;45;7;12;52;17;5;7;36;5;18;3;21;39;22;25;11;11;29;13;5;50;100;30;12;15;44;17;39;15;20;7;53;32;6;18;5;14;31;13;9;6;12;5;22;6;16;27;22;14;45;18;7;4;44;8;15;35;16;11;23;18;49;8;34;47;8;6;22;11;4;225;20;36;11;10;26;39;1;5;2;1;0;7;
Cambriolages de  locaux industriels, commerciaux ou financiers;46;48;57;21;21;154;27;26;27;25;44;30;310;65;8;41;113;33;33;48;36;19;34;41;77;45;55;90;16;19;104;168;19;226;141;101;9;64;211;21;39;35;89;15;211;79;10;42;2;98;46;82;17;26;87;11;98;102;15;229;71;38;104;73;56;27;70;117;73;335;24;49;55;80;124;588;116;141;103;45;89;45;25;139;100;93;50;22;25;31;4;109;126;120;135;122;
Cambriolages d'autres lieux;37;58;33;9;11;183;20;39;12;39;39;11;316;87;6;32;67;43;20;36;33;6;18;64;61;56;43;94;6;10;164;109;6;189;157;91;23;62;190;32;35;29;115;12;181;110;8;26;2;87;48;101;22;25;76;20;62;105;24;373;87;26;156;35;57;16;30;237;49;348;12;40;70;75;84;441;243;137;213;15;119;20;23;148;66;44;36;24;27;29;17;169;214;120;187;139;
Vols avec entrée par ruse en tous lieux;11;17;2;0;2;7;4;2;1;1;1;4;41;12;1;3;6;0;4;7;8;0;2;7;5;3;5;9;4;1;30;16;4;11;20;8;3;11;28;7;2;3;12;0;12;7;2;9;7;12;1;5;1;6;11;6;6;13;1;39;12;1;12;6;13;6;3;19;5;42;6;12;2;4;7;178;13;25;12;5;5;3;12;19;11;2;5;1;2;5;1;11;59;55;33;28;
Vols à la tire;31;7;7;8;8;270;4;3;6;2;13;5;583;39;2;6;23;9;4;27;8;4;14;31;21;19;17;18;6;3;79;157;3;126;168;50;7;40;137;3;7;10;58;1;46;11;4;11;0;27;14;33;3;17;29;4;11;40;0;210;48;5;21;16;35;14;37;146;19;381;1;19;26;17;55;2 711;88;97;106;2;13;6;2;107;68;6;17;16;1;13;5;64;189;333;155;184;
Vols à l'étalage;28;38;45;0;6;95;8;13;4;25;20;25;143;70;6;19;37;16;12;47;29;6;11;65;52;31;45;84;1;3;52;30;8;113;59;39;26;38;76;13;10;10;83;7;115;49;6;18;1;69;22;45;13;17;55;9;38;107;7;262;49;7;100;70;38;8;13;73;113;195;17;31;36;25;49;260;111;224;167;16;71;24;9;42;28;68;24;28;22;13;17;60;159;208;166;67;
Vols de véhicules de transport avec fret;0;7;2;0;0;0;0;0;0;3;1;1;11;0;0;0;1;1;0;0;0;0;1;2;0;4;2;1;1;0;2;4;0;5;10;1;0;0;5;1;0;1;2;1;3;2;0;0;0;1;0;16;1;1;5;0;0;1;0;4;14;3;2;2;1;0;2;0;0;9;0;3;0;0;2;1;4;9;3;1;16;1;0;2;6;0;2;0;0;2;1;4;1;12;5;2;
Vols d'automobiles;198;146;76;59;18;826;68;50;33;83;152;26;2 143;148;11;43;212;44;12;130;76;9;44;64;289;234;112;137;55;63;712;1 007;30;795;776;218;30;110;659;19;63;63;350;40;619;209;27;76;5;135;51;216;46;30;197;22;85;195;30;1 112;654;25;443;147;71;44;271;474;117;1 726;32;108;55;157;181;880;455;579;590;22;188;44;100;588;402;106;60;47;57;95;13;629;438;646;603;875;
Vols de véhicules motorisés à 2 roues;42;56;36;9;7;428;13;19;8;38;33;7;385;72;5;30;96;44;25;64;45;7;24;65;57;64;46;71;24;17;120;146;8;216;185;102;17;80;104;17;37;42;88;15;217;108;13;30;0;83;46;60;17;14;82;12;34;91;32;357;79;32;228;54;67;22;52;187;99;213;15;44;71;44;74;456;181;100;173;10;49;27;36;241;100;43;30;17;25;36;24;145;183;145;172;140;
Vols à la roulotte;365;187;92;105;27;1 676;112;89;48;176;366;62;2 277;336;19;186;339;117;148;278;147;9;157;354;374;268;219;329;79;51;910;1 044;31;1 022;1 371;410;103;247;787;117;168;142;408;58;1 041;421;39;165;18;222;98;304;91;50;463;60;203;698;42;2 095;471;61;634;150;279;126;488;920;447;1 622;71;183;137;293;561;2 243;676;802;767;85;223;129;124;1 259;622;157;168;124;94;113;72;757;1 261;1 560;1 000;721;
Vols d'accessoires sur véhicules à moteur immatriculés;48;127;70;27;9;510;31;77;24;50;134;12;845;181;7;52;181;58;29;62;38;21;61;60;68;154;70;132;24;20;124;191;6;446;195;157;26;169;362;31;48;101;263;48;395;169;14;64;1;175;57;127;21;42;207;15;105;102;40;545;240;37;417;128;116;32;162;350;129;786;26;132;121;115;166;453;570;449;645;26;110;109;38;248;83;136;75;47;52;100;31;646;409;510;587;609;
Vols simples sur chantier;11;13;4;2;6;12;3;6;2;2;6;4;26;16;1;5;12;3;8;8;2;1;7;10;8;13;10;14;2;4;13;11;2;45;29;19;3;10;20;6;13;9;10;2;12;25;2;6;0;16;6;4;4;3;15;10;22;17;2;37;32;4;31;11;5;2;8;29;6;16;5;7;8;4;4;31;23;16;30;1;12;6;5;24;10;14;13;5;4;7;0;22;21;10;17;16;
Vols simples sur exploitation agricole;5;13;7;6;1;2;1;7;2;7;14;4;13;10;3;3;19;3;3;6;13;2;11;4;7;13;5;5;2;3;18;8;1;29;30;6;6;3;7;2;8;6;8;3;5;8;1;8;0;8;14;11;2;1;2;9;6;6;8;15;15;7;7;11;5;3;17;11;0;1;9;3;3;2;3;0;13;12;4;3;29;0;4;10;12;9;4;10;5;8;0;0;0;0;0;2;
Autres vols simples contre des établissements publics ou privés;40;44;34;6;6;117;12;27;8;40;25;5;175;47;4;27;32;14;18;24;40;7;19;33;50;42;35;63;8;7;42;92;10;257;49;54;29;45;118;12;30;12;56;11;99;51;7;21;4;38;39;41;10;11;61;10;61;100;15;281;52;20;93;34;42;12;29;92;42;196;18;42;40;37;29;341;117;130;111;21;43;33;13;90;72;37;40;28;36;25;13;116;227;126;125;127;
Autres vols simples contre des particuliers dans  des locaux privés;79;109;52;34;30;409;37;53;21;54;69;29;464;178;14;64;181;64;40;111;79;25;93;90;119;117;67;114;33;19;195;293;15;389;338;197;46;119;281;37;71;68;126;17;209;89;13;85;8;128;86;108;29;46;164;25;130;190;50;844;135;62;318;107;124;66;118;268;175;468;50;97;139;270;163;831;334;470;301;36;108;66;47;270;119;97;111;25;48;50;25;207;462;433;343;273;
Autres vols simples contre des particuliers dans des locaux ou lieux publics;84;86;53;40;56;531;35;56;17;78;67;36;1 232;126;16;47;151;72;38;116;56;19;50;121;90;73;96;195;24;36;159;353;7;445;337;213;27;184;335;35;50;53;159;19;294;205;16;74;8;124;126;132;42;35;181;38;119;180;30;646;125;20;278;76;193;51;133;318;226;667;28;74;78;530;215;3 087;226;343;484;37;144;68;39;369;137;65;66;68;57;55;56;229;709;650;541;403;
Recels;20;11;803;4;0;73;12;14;1;32;16;36;142;22;0;6;105;11;20;10;17;0;10;20;37;20;21;10;4;9;20;37;1;46;29;19;4;48;38;19;41;7;25;1;49;14;7;10;6;15;8;18;22;7;24;63;9;53;2;213;21;5;45;29;10;0;20;51;27;80;60;13;18;35;12;157;43;53;58;6;18;11;8;44;23;16;10;5;9;6;2;44;58;110;110;76;
Proxénétisme;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;0;4;1;2;0;0;0;1;0;2;2;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;2;0;
Viols sur des majeur(e)s;2;3;3;2;0;8;0;3;0;2;0;0;14;4;0;2;2;1;1;7;1;1;2;3;4;1;1;1;0;0;4;2;0;6;6;0;0;3;3;0;3;0;0;1;7;3;2;0;0;1;7;1;0;0;1;0;1;0;3;9;5;1;5;3;3;0;1;3;1;4;7;1;2;1;3;24;4;6;2;2;2;1;0;3;4;1;0;2;2;2;1;2;3;10;5;7;
Viols sur des mineur(e)s;1;14;0;1;1;4;0;2;3;6;0;0;9;4;1;4;4;0;1;7;0;1;2;10;1;3;4;2;0;0;3;3;3;5;5;1;0;0;4;1;0;0;8;0;7;8;1;1;2;2;2;1;3;6;7;4;2;4;0;24;3;1;25;3;1;1;3;3;2;4;11;1;14;1;2;12;17;12;8;0;7;1;2;3;2;0;2;1;1;2;0;6;12;10;22;12;
Harcèlements sexuels et autres agressions sexuelles contre des majeur(e)s;0;1;0;0;0;6;1;0;2;3;2;0;9;1;0;2;1;0;0;4;1;0;0;2;1;1;1;2;0;0;4;1;0;2;3;2;0;3;7;0;1;0;6;0;7;1;2;1;0;2;3;2;0;1;5;1;0;2;0;18;3;0;7;8;2;0;0;1;2;10;0;2;2;1;2;26;3;5;13;2;4;2;0;2;1;1;1;0;0;1;0;7;14;4;5;7;
Harcèlements sexuels et autres agressions sexuelles contre des mineur(e)s;3;12;1;0;4;12;2;2;1;3;4;0;33;27;0;12;5;5;5;4;8;2;4;15;2;6;17;5;1;0;8;4;4;12;10;7;2;12;10;1;2;7;6;1;12;13;4;3;2;10;7;9;5;7;6;6;1;12;4;55;7;0;23;7;8;1;6;6;4;18;21;5;4;1;1;21;20;19;16;2;8;6;1;6;3;1;4;4;5;12;0;20;16;15;18;26;
Atteintes sexuelles;6;9;5;0;1;25;3;4;2;17;5;3;37;5;1;8;9;8;6;12;3;1;1;9;7;8;3;6;0;0;4;7;0;14;12;13;3;6;15;2;2;0;9;1;15;11;2;3;2;8;6;10;4;1;15;4;11;12;2;52;22;8;30;11;4;5;6;19;18;23;3;3;4;2;5;37;13;20;22;4;17;4;1;10;6;5;11;1;5;3;1;16;21;9;11;30;
Homicides commis contre enfants de moins de 15 ans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Violences, mauvais traitements et abandons d'enfants.;7;8;5;2;1;20;6;5;2;2;2;1;21;19;1;3;3;9;1;7;1;1;2;10;2;8;6;10;0;1;7;6;3;16;4;4;0;14;6;3;0;8;6;1;11;4;0;1;0;15;2;11;1;0;5;3;3;11;3;67;13;2;14;0;4;2;3;27;19;29;4;4;6;3;4;15;21;18;35;2;9;3;2;7;0;0;5;3;7;6;0;8;14;54;38;14;
