Index de l'Etat 4001;Ain;Aisne;Allier;Alpes-de-Haute-Provence;Hautes-Alpes;Alpes-Maritimes;Ardèche;Ardennes;Ariège;Aube;Aude;Aveyron;Bouches-du-Rhône;Calvados;Cantal;Charente;Charente-Maritime;Cher;Corrèze;Côte-d'Or;Côtes-d'Armor;Creuse;Dordogne;Doubs;Drôme;Eure;Eure-et-Loir;Finistère;Corse-du-Sud;Haute-Corse;Gard;Haute-Garonne;Gers;Gironde;Hérault;Ille-et-Vilaine;Indre;Indre-et-Loire;Isère;Jura;Landes;Loir-et-Cher;Loire;Haute-Loire;Loire-Atlantique;Loiret;Lot;Lot-et-Garonne;Lozère;Maine-et-Loire;Manche;Marne;Haute-Marne;Mayenne;Meurthe-et-Moselle;Meuse;Morbihan;Moselle;Nièvre;Nord;Oise;Orne;Pas-de-Calais;Puy-de-Dôme;Pyrénées-Atlantiques;Hautes-Pyrénées;Pyrénées-Orientales;Bas-Rhin;Haut-Rhin;Rhône;Haute-Saône;Saône-et-Loire;Sarthe;Savoie;Haute-Savoie;Paris;Seine-Maritime;Seine-et-Marne;Yvelines;Deux-Sèvres;Somme;Tarn;Tarn-et-Garonne;Var;Vaucluse;Vendée;Vienne;Haute-Vienne;Vosges;Yonne;Territoire de Belfort;Essonne;Hauts-de-Seine;Seine-Saint-Denis;Val-de-Marne;Val-d'Oise;
Règlements de compte entre malfaiteurs;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
Homicides pour voler et à l'occasion de vols;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;2;0;0;
Homicides pour d'autres motifs;1;0;1;0;0;2;0;0;0;0;1;0;2;0;1;1;1;1;0;0;0;0;2;0;1;1;0;2;0;1;2;1;0;4;2;0;0;0;3;1;0;0;0;0;3;1;0;0;0;0;2;0;0;0;2;1;1;1;0;1;1;1;1;2;0;1;2;1;3;2;0;3;0;1;0;2;2;0;0;0;3;0;0;5;0;0;0;0;0;1;0;2;4;10;1;4;
Tentatives d'homicides pour voler et à l'occasion de vols;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;
Tentatives homicides pour d'autres motifs;0;0;0;0;0;1;1;1;0;0;0;1;8;0;0;0;1;0;1;3;0;0;2;0;0;3;0;0;0;1;0;1;1;1;2;0;0;0;0;1;0;0;1;1;0;3;0;0;0;0;0;0;0;1;3;0;0;3;0;5;3;0;1;0;0;0;1;2;0;2;0;0;2;0;4;5;0;2;1;0;0;0;0;4;1;0;0;0;0;1;0;8;1;14;3;0;
Coups et blessures volontaires suivis de mort;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;4;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;
Autres coups et blessures volontaires criminels ou correctionnels;57;93;36;13;11;151;21;40;7;54;35;34;246;87;2;28;68;37;19;61;48;10;25;82;76;80;52;138;11;28;117;138;13;168;149;98;19;77;152;27;36;28;78;11;159;109;3;37;2;107;48;110;21;18;108;23;70;198;20;411;208;17;216;64;53;15;73;234;103;309;39;65;56;56;121;343;124;211;219;16;99;27;28;170;41;52;23;40;48;60;36;250;299;438;261;260;
Prises d'otages à l'occasion de vols;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;
Prises d'otages dans un autre but;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;3;0;0;
Séquestrations;1;2;0;0;0;3;1;1;0;1;0;0;9;2;0;0;1;0;1;1;0;1;0;0;1;1;2;0;0;0;2;3;0;7;3;0;0;0;3;0;1;0;1;0;2;7;0;0;0;0;0;1;0;1;2;0;0;1;0;11;0;0;1;1;1;2;1;3;1;4;0;0;1;1;1;17;4;1;14;0;1;1;0;2;0;0;0;0;0;0;0;2;4;4;3;3;
Menaces ou chantages pour extorsion de fonds;11;11;2;1;1;19;2;5;2;8;1;3;16;1;0;4;4;2;1;10;4;0;5;4;3;2;10;9;1;1;17;20;0;15;10;9;2;2;19;1;2;2;5;0;5;26;0;5;0;2;1;6;3;0;8;0;7;9;3;58;15;3;21;7;2;2;4;8;10;20;3;10;2;10;16;60;31;38;28;7;6;4;3;9;10;0;3;2;3;5;3;32;36;26;20;42;
Menaces ou chantages dans un autre but;12;20;31;6;4;82;11;9;4;15;11;9;204;22;2;6;21;20;6;26;11;8;6;32;37;31;17;49;16;12;76;35;4;62;83;40;6;35;72;10;3;11;25;12;44;46;1;16;7;18;9;25;10;4;30;7;21;71;8;214;47;4;64;31;29;9;37;102;79;167;15;12;25;17;32;136;61;90;93;6;26;21;12;77;52;15;9;7;18;16;9;81;98;163;57;111;
Atteintes à la dignité et à la  personnalité;8;14;10;2;1;24;5;6;1;5;8;2;38;17;4;4;8;9;1;8;2;1;5;20;10;6;3;26;0;2;13;15;4;26;26;7;1;15;21;5;0;2;11;7;11;10;1;5;3;13;6;11;4;4;6;6;4;35;4;88;24;2;19;12;7;5;8;63;16;27;8;12;4;12;7;48;35;34;21;0;22;10;3;20;5;13;5;4;13;7;7;14;19;23;36;31;
Violations de domicile;2;8;4;1;3;17;3;3;2;1;2;1;8;8;1;1;9;4;11;3;9;0;4;7;4;5;7;17;1;0;14;7;1;10;12;6;3;5;9;1;5;3;3;1;16;8;0;6;1;7;3;9;1;1;1;1;7;16;3;23;10;0;12;3;2;1;5;8;3;10;1;1;1;8;14;23;7;18;10;6;14;2;1;9;4;5;2;2;4;2;5;6;9;16;6;12;
Vols à main armée contre des établissements financiers;2;0;0;0;1;3;0;0;0;0;0;0;5;1;0;1;2;0;1;0;0;0;1;0;3;0;0;4;1;0;1;3;0;6;1;3;1;0;1;0;0;0;3;0;3;0;0;0;0;1;0;0;1;0;0;0;0;5;0;5;3;0;1;1;0;0;1;10;3;5;0;0;0;0;1;7;0;2;0;0;0;2;0;4;0;1;0;0;0;1;0;3;3;12;7;0;
Vols à main armée contre des établissements industriels ou commerciaux;3;0;2;0;0;19;0;1;0;0;4;0;45;4;0;0;0;1;0;1;0;0;0;0;4;0;2;1;2;3;9;10;0;9;5;0;0;0;7;0;3;2;5;1;4;3;0;1;0;1;0;2;1;1;6;1;0;2;1;12;6;0;1;1;1;0;2;9;1;38;0;1;1;1;6;44;1;6;10;0;2;2;2;11;3;0;1;0;0;1;0;15;25;23;41;13;
Vols à main armée contre des entreprises de transports de fonds;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;
