Index de l'Etat 4001;Ain;Aisne;Allier;Alpes-de-Haute-Provence;Hautes-Alpes;Alpes-Maritimes;Ardèche;Ardennes;Ariège;Aube;Aude;Aveyron;Bouches-du-Rhône;Calvados;Cantal;Charente;Charente-Maritime;Cher;Corrèze;Côte-d'Or;Côtes-d'Armor;Creuse;Dordogne;Doubs;Drôme;Eure;Eure-et-Loir;Finistère;Corse-du-Sud;Haute-Corse;Gard;Haute-Garonne;Gers;Gironde;Hérault;Ille-et-Vilaine;Indre;Indre-et-Loire;Isère;Jura;Landes;Loir-et-Cher;Loire;Haute-Loire;Loire-Atlantique;Loiret;Lot;Lot-et-Garonne;Lozère;Maine-et-Loire;Manche;Marne;Haute-Marne;Mayenne;Meurthe-et-Moselle;Meuse;Morbihan;Moselle;Nièvre;Nord;Oise;Orne;Pas-de-Calais;Puy-de-Dôme;Pyrénées-Atlantiques;Hautes-Pyrénées;Pyrénées-Orientales;Bas-Rhin;Haut-Rhin;Rhône;Haute-Saône;Saône-et-Loire;Sarthe;Savoie;Haute-Savoie;Paris;Seine-Maritime;Seine-et-Marne;Yvelines;Deux-Sèvres;Somme;Tarn;Tarn-et-Garonne;Var;Vaucluse;Vendée;Vienne;Haute-Vienne;Vosges;Yonne;Territoire de Belfort;Essonne;Hauts-de-Seine;Seine-Saint-Denis;Val-de-Marne;Val-d'Oise;
Règlements de compte entre malfaiteurs;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
Homicides pour voler et à l'occasion de vols;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;
Homicides pour d'autres motifs;0;0;1;0;0;2;0;0;1;0;0;0;3;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;2;0;1;0;0;0;0;0;0;2;1;0;0;1;1;0;0;1;0;0;0;1;1;1;0;0;2;0;1;2;0;2;0;0;1;1;3;0;0;1;0;3;0;0;0;0;0;4;1;1;1;0;0;0;0;2;0;0;0;0;0;0;0;3;0;2;1;1;
Tentatives d'homicides pour voler et à l'occasion de vols;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;
Tentatives homicides pour d'autres motifs;1;1;0;0;0;1;1;1;1;0;0;1;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;3;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;2;0;0;0;0;0;0;1;0;0;3;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;10;2;3;2;1;0;0;0;2;2;0;0;0;0;0;0;2;1;5;1;0;
Coups et blessures volontaires suivis de mort;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;2;0;1;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;
Autres coups et blessures volontaires criminels ou correctionnels;24;38;28;6;9;103;4;24;5;53;26;14;203;36;2;14;40;19;5;28;18;3;18;51;35;46;23;62;16;14;27;32;6;90;57;62;15;45;73;15;13;8;77;7;66;61;2;13;2;47;26;65;10;9;69;12;37;106;11;206;66;19;164;31;24;21;47;112;76;143;15;18;32;14;47;539;130;171;179;3;57;12;16;124;37;15;11;9;34;26;15;155;181;266;114;197;
Prises d'otages à l'occasion de vols;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
Prises d'otages dans un autre but;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;
Séquestrations;1;2;4;1;0;4;0;0;0;0;1;1;7;0;0;1;2;1;0;0;1;0;0;0;0;0;0;1;1;2;0;3;0;1;1;2;0;0;4;0;1;0;0;0;2;0;0;0;0;1;0;0;0;0;3;0;0;1;0;2;0;0;1;1;0;0;1;4;3;2;0;0;1;0;2;7;1;0;4;1;1;0;0;3;3;0;0;0;0;0;0;2;0;4;3;4;
