Index de l'Etat 4001;Ain;Aisne;Allier;Alpes-de-Haute-Provence;Hautes-Alpes;Alpes-Maritimes;Ardèche;Ardennes;Ariège;Aube;Aude;Aveyron;Bouches-du-Rhône;Calvados;Cantal;Charente;Charente-Maritime;Cher;Corrèze;Côte-d'Or;Côtes-d'Armor;Creuse;Dordogne;Doubs;Drôme;Eure;Eure-et-Loir;Finistère;Corse-du-Sud;Haute-Corse;Gard;Haute-Garonne;Gers;Gironde;Hérault;Ille-et-Vilaine;Indre;Indre-et-Loire;Isère;Jura;Landes;Loir-et-Cher;Loire;Haute-Loire;Loire-Atlantique;Loiret;Lot;Lot-et-Garonne;Lozère;Maine-et-Loire;Manche;Marne;Haute-Marne;Mayenne;Meurthe-et-Moselle;Meuse;Morbihan;Moselle;Nièvre;Nord;Oise;Orne;Pas-de-Calais;Puy-de-Dôme;Pyrénées-Atlantiques;Hautes-Pyrénées;Pyrénées-Orientales;Bas-Rhin;Haut-Rhin;Rhône;Haute-Saône;Saône-et-Loire;Sarthe;Savoie;Haute-Savoie;Paris;Seine-Maritime;Seine-et-Marne;Yvelines;Deux-Sèvres;Somme;Tarn;Tarn-et-Garonne;Var;Vaucluse;Vendée;Vienne;Haute-Vienne;Vosges;Yonne;Territoire de Belfort;Essonne;Hauts-de-Seine;Seine-Saint-Denis;Val-de-Marne;Val-d'Oise;
Règlements de compte entre malfaiteurs;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
Homicides pour voler et à l'occasion de vols;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Homicides pour d'autres motifs;0;0;0;0;0;1;0;0;1;0;0;0;1;2;0;3;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;1;0;0;2;0;0;1;2;1;0;0;2;1;1;0;1;0;2;0;0;0;0;0;0;4;2;1;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;1;2;0;
Tentatives d'homicides pour voler et à l'occasion de vols;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;
Tentatives homicides pour d'autres motifs;1;0;0;0;0;1;0;0;0;2;0;0;11;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;1;2;0;1;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0;0;2;1;2;6;0;0;0;0;0;0;0;0;0;1;1;3;0;0;1;3;0;0;2;0;0;0;3;0;5;0;0;0;0;1;0;8;2;7;2;6;
Coups et blessures volontaires suivis de mort;0;0;0;0;0;0;1;0;0;0;0;0;5;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
Autres coups et blessures volontaires criminels ou correctionnels;75;114;62;31;27;309;68;64;25;71;52;29;648;142;6;59;104;56;39;80;86;15;64;92;121;157;102;163;30;20;196;263;28;331;260;189;41;74;242;39;50;63;139;22;237;156;17;59;11;113;59;117;49;44;172;37;103;200;41;921;249;45;543;104;93;39;93;215;172;525;48;85;113;125;178;859;379;355;298;47;184;55;60;213;108;70;56;53;66;97;32;310;365;811;439;444;
Prises d'otages à l'occasion de vols;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Prises d'otages dans un autre but;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
Séquestrations;1;2;0;1;0;1;1;0;0;1;1;2;12;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;2;1;1;3;1;0;0;0;4;0;0;1;3;0;2;2;0;1;0;0;1;3;1;0;1;1;0;1;0;9;4;0;2;1;2;0;2;3;2;7;0;1;0;0;1;11;3;6;5;0;3;0;1;4;1;0;2;0;0;2;0;7;1;14;2;3;
