Index de l'Etat 4001;Ain;Aisne;Allier;Alpes-de-Haute-Provence;Hautes-Alpes;Alpes-Maritimes;Ardèche;Ardennes;Ariège;Aube;Aude;Aveyron;Bouches-du-Rhône;Calvados;Cantal;Charente;Charente-Maritime;Cher;Corrèze;Côte-d'Or;Côtes-d'Armor;Creuse;Dordogne;Doubs;Drôme;Eure;Eure-et-Loir;Finistère;Corse-du-Sud;Haute-Corse;Gard;Haute-Garonne;Gers;Gironde;Hérault;Ille-et-Vilaine;Indre;Indre-et-Loire;Isère;Jura;Landes;Loir-et-Cher;Loire;Haute-Loire;Loire-Atlantique;Loiret;Lot;Lot-et-Garonne;Lozère;Maine-et-Loire;Manche;Marne;Haute-Marne;Mayenne;Meurthe-et-Moselle;Meuse;Morbihan;Moselle;Nièvre;Nord;Oise;Orne;Pas-de-Calais;Puy-de-Dôme;Pyrénées-Atlantiques;Hautes-Pyrénées;Pyrénées-Orientales;Bas-Rhin;Haut-Rhin;Rhône;Haute-Saône;Saône-et-Loire;Sarthe;Savoie;Haute-Savoie;Paris;Seine-Maritime;Seine-et-Marne;Yvelines;Deux-Sèvres;Somme;Tarn;Tarn-et-Garonne;Var;Vaucluse;Vendée;Vienne;Haute-Vienne;Vosges;Yonne;Territoire de Belfort;Essonne;Hauts-de-Seine;Seine-Saint-Denis;Val-de-Marne;Val-d'Oise;
Règlements de compte entre malfaiteurs;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;
Homicides pour voler et à l'occasion de vols;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;
Homicides pour d'autres motifs;0;0;0;1;0;1;1;0;1;2;1;0;4;0;0;0;0;0;0;4;0;0;0;0;1;1;0;1;0;2;1;1;0;2;3;0;0;0;13;0;0;2;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;3;0;1;0;2;1;3;0;1;0;0;2;0;2;0;4;2;1;1;0;3;1;0;4;0;2;0;0;0;2;0;0;1;3;3;1;
Tentatives d'homicides pour voler et à l'occasion de vols;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;3;1;0;0;
Tentatives homicides pour d'autres motifs;1;0;2;0;0;2;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;1;1;1;2;0;2;2;3;1;0;3;5;1;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;1;0;0;2;0;0;0;0;4;1;0;1;1;2;0;0;3;0;10;0;1;1;1;2;10;1;6;0;0;1;0;0;3;1;1;0;1;0;0;1;7;2;4;3;2;
Coups et blessures volontaires suivis de mort;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;0;0;0;1;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;3;0;0;0;0;1;0;0;0;0;0;1;0;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;
Autres coups et blessures volontaires criminels ou correctionnels;37;77;33;14;8;154;16;33;9;40;31;10;215;47;8;20;52;35;12;41;37;5;17;53;64;57;51;51;10;28;62;50;16;150;106;76;14;60;113;27;29;31;74;6;113;63;11;37;7;68;32;65;25;13;167;22;47;134;22;258;107;20;196;43;32;21;62;111;74;165;17;34;25;32;70;563;190;190;202;7;75;38;14;138;56;30;23;13;36;42;23;131;160;259;117;239;
Prises d'otages à l'occasion de vols;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;
Prises d'otages dans un autre but;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Séquestrations;1;2;0;0;0;4;1;0;0;0;0;0;5;0;0;1;2;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;2;1;0;0;2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;6;1;0;3;0;0;0;0;2;1;4;0;0;0;1;2;11;3;3;5;1;0;0;1;2;1;1;0;0;0;0;0;3;2;7;5;2;
Menaces ou chantages pour extorsion de fonds;3;4;2;3;1;9;5;1;1;4;2;2;15;1;0;1;2;3;0;5;4;0;1;6;4;5;9;4;2;2;5;3;2;11;8;2;1;1;10;3;1;1;5;0;4;7;0;2;1;3;0;4;0;1;5;1;0;3;1;19;8;1;6;2;1;6;2;14;9;13;1;4;1;4;4;25;10;11;12;2;2;2;0;1;6;4;2;1;1;3;0;8;10;6;9;11;
Menaces ou chantages dans un autre but;17;33;7;8;4;93;7;12;4;17;16;5;111;26;1;6;9;4;6;23;6;1;14;18;22;16;15;13;4;10;31;15;3;45;66;25;9;15;54;17;8;7;16;2;29;32;1;16;4;26;2;19;4;9;29;3;9;59;3;110;33;7;35;23;8;5;17;38;57;62;9;11;10;10;14;87;57;53;75;6;32;7;8;58;25;8;7;13;12;13;6;52;44;54;35;66;
Atteintes à la dignité et à la  personnalité;11;31;9;7;2;27;9;7;3;11;5;1;18;5;2;7;12;6;2;19;9;3;6;15;7;11;9;12;1;3;9;8;6;25;12;7;3;8;20;10;5;2;17;9;18;21;2;8;1;16;11;8;3;2;20;5;3;29;1;32;16;0;23;10;8;4;12;23;31;24;13;2;6;12;9;39;25;31;18;4;22;6;3;17;4;12;1;4;2;9;3;12;15;13;16;24;
Violations de domicile;6;8;3;4;4;16;4;4;2;3;3;2;15;7;2;10;18;6;1;6;10;2;4;7;6;17;7;10;0;1;0;1;1;12;9;16;3;12;11;8;0;2;4;2;13;6;0;3;1;1;1;8;2;1;3;2;12;14;2;28;6;4;10;8;4;3;9;4;9;15;3;5;5;6;9;13;7;10;12;2;11;2;5;9;5;5;4;8;2;3;1;5;9;11;7;10;
Vols à main armée contre des établissements financiers;3;1;2;1;0;4;1;1;0;0;2;0;3;0;0;1;0;1;1;0;0;0;0;1;2;1;0;1;4;0;2;3;1;4;2;2;0;4;4;1;0;0;7;0;2;0;0;0;0;0;0;1;0;0;6;1;0;1;0;9;1;0;1;0;0;1;2;0;0;9;0;0;0;1;1;7;0;3;2;1;0;1;0;1;2;0;0;0;0;1;1;4;1;1;23;0;
Vols à main armée contre des établissements industriels ou commerciaux;4;1;0;0;0;8;1;0;0;0;1;0;17;0;0;0;2;1;0;1;1;0;2;0;2;1;1;0;3;0;2;5;0;4;5;0;1;3;3;3;0;1;8;0;2;3;0;0;0;1;0;0;1;0;1;1;0;3;0;6;4;0;4;2;0;2;2;4;0;13;0;0;1;0;0;24;4;9;7;0;0;0;0;3;3;0;2;0;0;2;0;7;7;20;12;8;
Vols à main armée contre des entreprises de transports de fonds;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Vols à main armée contre des particuliers à leur domicile;0;0;1;0;0;3;1;0;0;0;1;0;3;2;0;1;2;1;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;0;2;3;1;1;
