Index de l'Etat 4001;Ain;Aisne;Allier;Alpes-de-Haute-Provence;Hautes-Alpes;Alpes-Maritimes;Ardèche;Ardennes;Ariège;Aube;Aude;Aveyron;Bouches-du-Rhône;Calvados;Cantal;Charente;Charente-Maritime;Cher;Corrèze;Côte-d'Or;Côtes-d'Armor;Creuse;Dordogne;Doubs;Drôme;Eure;Eure-et-Loir;Finistère;Corse-du-Sud;Haute-Corse;Gard;Haute-Garonne;Gers;Gironde;Hérault;Ille-et-Vilaine;Indre;Indre-et-Loire;Isère;Jura;Landes;Loir-et-Cher;Loire;Haute-Loire;Loire-Atlantique;Loiret;Lot;Lot-et-Garonne;Lozère;Maine-et-Loire;Manche;Marne;Haute-Marne;Mayenne;Meurthe-et-Moselle;Meuse;Morbihan;Moselle;Nièvre;Nord;Oise;Orne;Pas-de-Calais;Puy-de-Dôme;Pyrénées-Atlantiques;Hautes-Pyrénées;Pyrénées-Orientales;Bas-Rhin;Haut-Rhin;Rhône;Haute-Saône;Saône-et-Loire;Sarthe;Savoie;Haute-Savoie;Paris;Seine-Maritime;Seine-et-Marne;Yvelines;Deux-Sèvres;Somme;Tarn;Tarn-et-Garonne;Var;Vaucluse;Vendée;Vienne;Haute-Vienne;Vosges;Yonne;Territoire de Belfort;Essonne;Hauts-de-Seine;Seine-Saint-Denis;Val-de-Marne;Val-d'Oise;
Règlements de compte entre malfaiteurs;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;
Homicides pour voler et à l'occasion de vols;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;
Homicides pour d'autres motifs;1;0;0;0;0;0;1;1;0;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;2;1;0;1;2;0;5;2;0;1;2;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;1;0;1;1;0;4;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;3;0;1;0;1;1;0;1;2;0;0;0;0;2;2;0;1;2;5;2;2;
Tentatives d'homicides pour voler et à l'occasion de vols;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Tentatives homicides pour d'autres motifs;0;3;0;0;1;3;0;0;0;1;0;2;5;1;0;0;2;0;5;0;0;0;2;3;1;0;0;0;2;0;0;1;0;3;1;1;0;1;0;0;0;0;2;0;5;0;0;0;0;0;0;0;1;0;0;0;1;0;0;4;0;1;1;0;2;0;1;1;0;3;0;0;0;1;1;6;0;7;1;0;2;0;0;2;0;0;0;2;0;0;0;3;4;14;3;2;
Coups et blessures volontaires suivis de mort;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;2;0;
Autres coups et blessures volontaires criminels ou correctionnels;60;114;50;20;16;253;40;67;8;56;57;17;370;113;7;40;84;50;18;80;62;9;21;114;87;82;80;116;23;37;142;212;12;230;190;144;26;73;233;29;37;20;101;26;192;138;4;37;10;79;30;108;36;27;121;34;79;178;38;577;179;31;279;64;51;19;91;213;189;387;43;54;66;56;98;503;266;340;270;34;119;29;26;180;70;60;26;43;44;69;42;310;373;576;309;336;
Prises d'otages à l'occasion de vols;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
Prises d'otages dans un autre but;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Séquestrations;1;0;1;0;1;4;0;0;2;0;1;0;9;1;0;1;1;0;0;1;0;0;0;4;0;1;1;0;0;1;3;2;0;3;0;1;0;1;3;0;0;0;1;1;3;2;0;0;0;0;1;2;1;2;2;1;0;2;0;9;6;0;1;0;0;0;2;5;2;5;0;1;0;1;3;13;2;6;2;0;1;3;0;1;1;1;0;1;0;1;0;4;0;8;9;3;
Menaces ou chantages pour extorsion de fonds;6;1;1;0;2;21;4;0;1;0;1;0;11;10;0;7;3;7;0;7;0;1;5;4;8;9;15;1;1;3;9;12;1;4;10;12;2;5;27;3;1;2;6;0;12;13;0;1;0;7;1;3;0;1;4;1;1;6;2;45;8;0;17;8;3;4;4;13;13;13;0;2;6;3;8;102;24;34;27;2;11;5;2;8;8;2;1;2;2;6;3;35;41;44;42;33;
Menaces ou chantages dans un autre but;18;26;12;23;7;138;11;16;8;29;15;6;252;63;1;8;50;28;12;61;25;8;10;66;40;21;38;43;20;23;80;80;4;79;85;49;16;33;109;14;10;6;24;7;71;84;6;22;4;35;22;28;8;7;40;9;27;97;12;267;46;16;85;20;16;8;52;75;112;158;9;22;35;23;25;219;112;129;120;12;50;26;14;94;58;17;25;13;19;20;14;89;102;175;83;132;
Atteintes à la dignité et à la  personnalité;3;13;6;4;5;39;7;3;0;14;2;3;65;28;0;3;6;24;0;23;9;1;3;39;7;6;2;15;7;0;14;31;3;24;14;15;6;12;21;5;2;3;16;7;20;26;3;1;3;9;13;10;4;2;15;1;4;26;6;93;23;9;26;17;7;1;15;40;19;59;6;3;5;8;21;92;56;44;32;1;22;11;4;27;13;12;13;7;8;5;8;14;19;31;26;47;
Violations de domicile;6;8;1;2;5;29;1;3;3;3;2;5;24;6;1;1;7;3;0;4;4;0;2;6;2;5;5;13;1;5;6;6;0;9;9;10;0;6;9;3;2;5;6;3;11;4;0;3;0;3;8;4;2;3;5;2;6;15;2;31;10;2;16;8;1;3;4;7;17;20;1;1;7;3;5;30;5;14;7;5;15;4;4;14;8;11;2;7;2;3;3;17;15;11;9;7;
Vols à main armée contre des établissements financiers;1;0;0;0;0;4;1;0;0;2;0;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;2;2;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;3;0;0;2;1;1;0;0;0;0;1;0;1;0;1;2;0;0;8;1;5;3;1;0;0;0;0;0;0;0;0;0;2;2;7;2;5;7;2;
Vols à main armée contre des établissements industriels ou commerciaux;3;1;0;0;0;4;0;0;0;1;1;1;11;0;0;0;0;0;0;3;1;0;0;0;2;0;0;0;0;0;5;1;0;1;5;0;0;3;6;0;0;0;2;0;3;0;0;0;0;0;1;0;0;0;4;2;2;2;0;14;2;0;9;0;0;1;0;4;1;13;2;0;2;0;0;16;0;11;3;0;0;1;0;3;1;0;0;1;2;1;0;13;6;21;16;4;
