Index de l'Etat 4001;Ain;Aisne;Allier;Alpes-de-Haute-Provence;Hautes-Alpes;Alpes-Maritimes;Ardèche;Ardennes;Ariège;Aube;Aude;Aveyron;Bouches-du-Rhône;Calvados;Cantal;Charente;Charente-Maritime;Cher;Corrèze;Côte-d'Or;Côtes-d'Armor;Creuse;Dordogne;Doubs;Drôme;Eure;Eure-et-Loir;Finistère;Corse-du-Sud;Haute-Corse;Gard;Haute-Garonne;Gers;Gironde;Hérault;Ille-et-Vilaine;Indre;Indre-et-Loire;Isère;Jura;Landes;Loir-et-Cher;Loire;Haute-Loire;Loire-Atlantique;Loiret;Lot;Lot-et-Garonne;Lozère;Maine-et-Loire;Manche;Marne;Haute-Marne;Mayenne;Meurthe-et-Moselle;Meuse;Morbihan;Moselle;Nièvre;Nord;Oise;Orne;Pas-de-Calais;Puy-de-Dôme;Pyrénées-Atlantiques;Hautes-Pyrénées;Pyrénées-Orientales;Bas-Rhin;Haut-Rhin;Rhône;Haute-Saône;Saône-et-Loire;Sarthe;Savoie;Haute-Savoie;Paris;Seine-Maritime;Seine-et-Marne;Yvelines;Deux-Sèvres;Somme;Tarn;Tarn-et-Garonne;Var;Vaucluse;Vendée;Vienne;Haute-Vienne;Vosges;Yonne;Territoire de Belfort;Essonne;Hauts-de-Seine;Seine-Saint-Denis;Val-de-Marne;Val-d'Oise;
Règlements de compte entre malfaiteurs;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
Homicides pour voler et à l'occasion de vols;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Homicides pour d'autres motifs;0;0;0;0;0;5;0;1;0;0;0;0;6;0;0;1;1;1;1;0;0;0;0;0;0;2;0;1;1;0;1;2;0;1;1;0;0;0;3;0;0;0;1;0;1;3;0;0;0;0;0;1;0;0;1;0;2;1;0;5;0;0;2;1;1;1;1;2;0;1;0;0;0;1;0;2;0;2;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;3;4;1;
Tentatives d'homicides pour voler et à l'occasion de vols;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
Tentatives homicides pour d'autres motifs;1;2;0;0;0;0;0;0;0;1;0;0;1;3;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;2;1;0;2;1;0;0;0;0;0;0;0;0;0;0;2;2;0;3;1;0;1;0;0;0;1;1;0;2;0;0;0;2;0;3;1;4;6;0;1;0;0;1;0;0;0;0;0;1;0;9;3;4;8;4;
Coups et blessures volontaires suivis de mort;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;
Autres coups et blessures volontaires criminels ou correctionnels;85;130;39;17;26;273;25;49;11;71;57;12;384;118;12;36;67;64;26;88;76;14;26;96;74;103;103;106;17;26;130;246;14;185;146;106;28;71;178;29;34;34;98;17;182;101;12;36;6;95;45;123;24;43;114;28;83;165;24;650;160;30;279;63;53;15;125;197;184;452;32;64;65;66;122;460;240;301;297;38;97;35;46;169;70;52;33;42;63;72;36;307;349;598;282;316;
Prises d'otages à l'occasion de vols;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
Prises d'otages dans un autre but;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Séquestrations;0;0;1;0;0;9;0;1;0;1;2;0;10;2;0;0;4;1;0;0;1;0;0;2;0;2;2;2;0;1;3;8;0;4;5;1;1;1;1;0;0;0;1;0;4;1;0;0;0;1;0;0;1;1;0;0;0;0;0;11;3;2;6;0;0;0;0;2;1;4;0;0;0;1;1;12;4;8;2;0;1;0;0;4;1;0;1;0;0;1;0;2;4;16;4;6;
Menaces ou chantages pour extorsion de fonds;6;3;4;1;4;19;3;1;1;7;6;0;37;9;0;2;9;3;3;5;3;0;2;8;4;8;12;6;1;3;5;12;0;10;8;4;5;5;18;3;2;2;7;1;13;16;1;4;0;5;4;3;4;0;6;0;4;5;4;40;12;2;17;2;2;1;8;14;18;13;1;4;1;3;1;121;24;35;39;4;7;3;2;12;9;0;3;4;2;4;0;31;38;52;32;58;
Menaces ou chantages dans un autre but;20;19;15;6;10;154;10;32;2;22;16;6;274;49;6;12;36;29;7;36;28;6;8;60;45;24;9;51;8;25;84;112;7;96;88;56;13;58;72;20;11;14;24;10;44;66;4;15;1;43;15;36;14;10;21;8;18;83;10;345;69;10;86;18;44;5;40;77;88;181;11;46;24;13;15;224;117;121;142;13;63;22;16;73;64;21;17;7;27;25;16;119;138;197;92;201;
Atteintes à la dignité et à la  personnalité;3;18;10;5;4;47;4;8;2;11;8;2;44;17;5;4;4;22;2;29;9;0;0;29;7;10;24;12;2;10;15;45;6;24;20;20;4;13;27;2;2;4;14;2;16;23;1;10;2;10;9;12;3;2;11;1;6;33;7;148;24;2;27;12;6;6;9;33;16;48;4;9;11;9;19;80;52;47;29;7;22;11;7;23;14;8;16;10;9;11;4;15;29;39;18;80;
Violations de domicile;6;7;3;1;2;41;3;3;6;2;6;4;22;3;1;2;9;3;5;5;5;1;6;7;7;7;4;16;0;1;3;14;0;17;10;10;4;4;11;2;3;1;6;3;12;6;1;5;0;2;4;6;4;2;3;1;7;6;2;17;2;2;10;3;5;5;9;4;5;18;5;2;8;2;7;24;8;14;16;3;13;6;2;15;3;10;5;10;4;7;3;16;11;18;10;16;
Vols à main armée contre des établissements financiers;0;0;1;0;0;2;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;1;0;0;1;0;0;0;2;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;0;0;1;0;3;2;0;2;0;0;0;0;4;0;1;0;1;2;0;1;7;0;1;3;0;0;0;0;0;0;2;1;0;0;1;0;3;2;3;5;1;
Vols à main armée contre des établissements industriels ou commerciaux;1;1;1;1;1;6;1;0;0;0;2;0;12;1;0;0;0;2;0;1;0;1;0;0;2;5;1;1;0;2;2;2;1;4;8;2;0;1;12;1;0;1;3;1;3;0;0;2;0;1;0;4;0;0;2;0;1;3;0;12;4;0;6;0;0;0;0;9;2;15;0;0;0;1;3;30;0;10;9;0;1;0;0;10;3;0;0;3;0;2;1;19;10;25;23;6;
Vols à main armée contre des entreprises de transports de fonds;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;
Vols à main armée contre des particuliers à leur domicile;0;0;0;0;1;4;0;0;0;0;0;0;6;1;0;1;2;0;1;1;1;0;2;1;0;0;0;0;0;1;1;0;0;0;1;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;2;3;1;
Autres vols à main armée;2;0;0;0;0;4;0;0;0;1;2;0;10;1;0;1;1;0;0;1;0;1;0;2;3;3;0;1;0;0;7;8;0;3;7;1;0;2;6;0;0;4;0;0;2;1;0;0;0;2;0;1;0;0;2;1;0;3;2;8;1;0;5;0;0;0;1;2;4;6;0;0;0;0;1;20;1;6;4;0;0;0;0;4;4;0;0;0;0;0;0;11;10;9;12;8;
Vols avec armes blanches contre des établissements financiers, commerciaux ou industriels;1;0;0;1;0;2;1;0;0;1;1;1;4;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;0;2;0;1;0;1;0;1;0;0;0;6;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;4;0;5;0;1;1;0;1;5;11;0;0;1;0;3;4;2;5;2;0;1;0;0;2;0;1;0;0;1;0;0;2;5;4;3;3;
Vols avec armes blanches contre des particuliers à leur domicile;0;0;0;0;1;4;0;0;0;1;0;0;1;1;0;2;1;0;0;0;0;0;2;0;0;0;0;1;0;0;0;3;0;3;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;3;1;0;1;0;1;0;1;1;2;3;0;0;1;0;0;6;3;3;3;0;0;0;0;2;0;0;0;0;0;1;0;1;2;7;2;3;
Autres vols avec armes blanches;2;2;2;0;0;22;1;0;0;0;2;0;37;7;0;4;5;4;0;4;2;1;0;0;0;5;3;2;0;0;13;35;0;23;22;10;1;6;24;3;0;7;2;1;11;9;0;1;0;6;0;7;0;0;13;1;1;15;1;39;19;1;11;5;2;0;12;22;18;38;1;0;3;3;14;221;20;28;54;0;10;5;4;4;7;2;0;2;1;0;6;47;45;63;43;52;
Vols violents sans arme contre des établissements financiers, commerciaux ou industriels;1;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;3;1;5;0;0;0;0;1;0;1;0;5;1;0;0;0;0;0;0;0;0;1;0;2;5;1;8;3;0;5;1;1;0;1;2;4;6;0;1;0;0;2;5;2;1;4;0;4;1;1;1;0;1;1;1;1;1;0;1;3;4;1;3;
Vols violents sans arme contre des particuliers à leur domicile;2;0;0;0;0;4;1;0;0;2;0;1;5;1;0;4;0;2;1;0;0;0;0;0;1;2;2;3;0;0;2;5;0;2;1;4;1;2;1;0;0;0;1;0;3;0;0;0;0;1;1;0;1;2;2;0;0;0;0;5;1;0;5;1;2;0;1;3;3;6;0;0;1;0;2;5;1;3;1;0;4;0;1;2;1;1;2;2;1;3;0;1;3;7;5;2;
Vols violents sans arme contre des femmes sur voie publique ou autre lieu public;7;13;6;2;3;215;1;9;1;3;8;2;278;7;0;3;13;2;4;17;4;0;1;13;11;12;16;9;0;4;39;45;1;60;72;23;1;15;58;1;2;7;17;2;42;20;2;16;1;10;2;19;1;4;23;0;11;21;1;192;24;4;50;9;12;6;19;46;25;143;1;4;5;8;30;781;69;94;115;0;11;6;4;60;31;4;6;4;5;9;2;100;196;534;203;154;
Vols violents sans arme contre d'autres victimes;10;10;4;3;2;150;1;7;2;6;11;1;321;25;1;4;10;10;2;12;9;3;1;14;18;19;41;16;0;5;39;62;0;69;73;23;4;18;61;3;1;18;25;2;68;45;3;5;1;19;8;51;1;8;39;0;6;35;3;301;56;3;62;13;18;4;12;58;51;167;0;8;12;8;28;766;98;126;150;3;24;6;3;47;38;5;3;5;2;10;7;171;209;451;236;178;
Cambriolages de locaux d'habitations principales;145;82;53;10;10;501;34;49;20;53;57;26;1 131;63;4;63;95;114;9;73;63;15;96;68;87;131;94;84;12;30;244;535;7;378;360;155;40;83;383;20;49;46;131;19;253;105;14;52;2;149;18;98;44;65;123;26;108;159;21;862;214;49;252;68;52;45;94;386;160;831;19;83;96;67;156;1 041;231;417;450;25;133;73;59;285;235;80;51;29;55;99;21;384;385;463;415;321;
