Index de l'Etat 4001;Ain;Aisne;Allier;Alpes-de-Haute-Provence;Hautes-Alpes;Alpes-Maritimes;Ardèche;Ardennes;Ariège;Aube;Aude;Aveyron;Bouches-du-Rhône;Calvados;Cantal;Charente;Charente-Maritime;Cher;Corrèze;Côte-d'Or;Côtes-d'Armor;Creuse;Dordogne;Doubs;Drôme;Eure;Eure-et-Loir;Finistère;Corse-du-Sud;Haute-Corse;Gard;Haute-Garonne;Gers;Gironde;Hérault;Ille-et-Vilaine;Indre;Indre-et-Loire;Isère;Jura;Landes;Loir-et-Cher;Loire;Haute-Loire;Loire-Atlantique;Loiret;Lot;Lot-et-Garonne;Lozère;Maine-et-Loire;Manche;Marne;Haute-Marne;Mayenne;Meurthe-et-Moselle;Meuse;Morbihan;Moselle;Nièvre;Nord;Oise;Orne;Pas-de-Calais;Puy-de-Dôme;Pyrénées-Atlantiques;Hautes-Pyrénées;Pyrénées-Orientales;Bas-Rhin;Haut-Rhin;Rhône;Haute-Saône;Saône-et-Loire;Sarthe;Savoie;Haute-Savoie;Paris;Seine-Maritime;Seine-et-Marne;Yvelines;Deux-Sèvres;Somme;Tarn;Tarn-et-Garonne;Var;Vaucluse;Vendée;Vienne;Haute-Vienne;Vosges;Yonne;Territoire de Belfort;Essonne;Hauts-de-Seine;Seine-Saint-Denis;Val-de-Marne;Val-d'Oise;
Règlements de compte entre malfaiteurs;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Homicides pour voler et à l'occasion de vols;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Homicides pour d'autres motifs;0;0;0;1;0;1;0;2;1;1;0;0;1;1;0;0;0;0;2;1;0;0;0;2;0;1;2;0;1;0;3;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;0;1;1;2;2;0;2;1;1;0;0;2;2;0;1;2;0;0;0;1;3;1;0;2;2;1;2;0;1;2;4;0;1;
Tentatives d'homicides pour voler et à l'occasion de vols;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
Tentatives homicides pour d'autres motifs;0;1;0;1;1;2;0;0;1;0;0;0;5;0;0;0;1;1;0;3;2;3;0;2;0;1;2;0;0;1;1;1;0;1;3;0;0;0;6;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;4;1;0;1;0;0;0;1;2;0;4;0;0;0;0;0;4;0;1;1;4;0;0;1;3;0;0;0;1;0;2;0;2;1;6;2;3;
Coups et blessures volontaires suivis de mort;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;
Autres coups et blessures volontaires criminels ou correctionnels;85;109;36;25;11;338;36;52;18;67;47;19;442;126;15;36;96;56;38;94;99;14;51;95;96;117;97;170;18;22;173;230;12;292;180;167;47;84;235;61;56;34;147;24;204;127;16;46;8;82;72;185;62;33;156;33;105;195;37;678;219;29;415;98;63;24;87;188;164;444;46;95;83;70;131;683;267;322;277;29;168;38;40;201;78;64;45;44;64;80;23;358;385;622;389;431;
Prises d'otages à l'occasion de vols;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Prises d'otages dans un autre but;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Séquestrations;0;0;0;0;0;5;1;0;0;0;0;1;9;0;0;0;2;0;0;3;0;0;0;0;0;0;1;3;0;0;3;8;0;1;2;2;0;0;6;0;0;0;1;0;1;3;0;1;0;1;0;2;0;0;6;0;1;3;0;7;3;0;4;0;1;0;1;2;1;2;0;2;0;1;2;12;5;3;4;1;3;0;0;2;0;0;0;0;0;1;0;3;0;12;3;7;
Menaces ou chantages pour extorsion de fonds;5;4;1;2;1;19;0;0;0;3;0;1;20;15;0;3;3;5;0;2;3;1;1;5;3;10;7;12;1;2;3;4;3;11;7;6;1;5;16;3;0;6;8;1;5;15;1;1;0;5;1;6;3;1;1;2;4;7;3;39;15;4;13;3;4;2;5;10;13;21;5;5;4;2;9;113;15;21;25;1;7;2;2;19;5;3;0;1;8;5;3;31;39;33;38;39;
Menaces ou chantages dans un autre but;21;40;16;16;10;188;16;15;2;37;10;10;299;45;3;11;33;14;10;44;35;5;21;50;47;33;32;56;12;12;97;113;7;116;85;46;15;47;87;15;19;20;33;9;57;90;9;21;2;49;34;63;16;15;38;13;32;63;11;369;49;20;161;23;42;12;39;120;83;219;11;42;26;37;55;269;162;132;132;9;67;28;22;102;75;24;18;20;14;24;8;154;152;269;98;185;
Atteintes à la dignité et à la  personnalité;13;29;13;4;5;74;7;8;3;9;10;7;73;39;5;3;6;12;6;31;15;2;5;24;12;16;9;27;7;7;26;42;1;22;23;20;4;23;29;10;5;7;17;8;30;34;2;10;0;13;13;22;9;10;21;5;7;44;9;109;30;8;65;23;15;2;19;92;29;76;2;29;7;16;26;100;64;53;33;5;35;8;9;42;18;9;24;18;14;12;3;35;40;48;16;66;
Violations de domicile;6;8;4;1;0;29;2;3;4;3;5;3;19;6;1;1;22;1;2;3;9;2;7;6;4;8;3;23;1;2;10;23;6;18;13;10;2;8;4;3;3;1;7;1;16;10;3;3;1;7;3;9;0;1;8;1;8;9;4;35;6;2;23;4;3;1;5;8;14;15;3;4;5;2;12;32;14;13;13;4;11;5;4;15;6;9;3;6;5;1;1;19;23;27;11;18;
Vols à main armée contre des établissements financiers;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;5;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;2;1;1;0;0;0;0;1;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;4;0;1;
Vols à main armée contre des établissements industriels ou commerciaux;0;1;0;0;0;3;1;0;0;1;0;1;30;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;2;2;0;1;0;3;2;1;0;1;3;0;0;1;0;0;2;0;0;0;0;2;0;2;0;0;1;0;2;1;0;5;2;0;5;0;0;0;1;4;1;7;0;0;0;2;1;9;4;9;1;0;1;0;0;2;2;0;0;0;0;1;0;9;1;9;9;10;
Vols à main armée contre des entreprises de transports de fonds;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;
Vols à main armée contre des particuliers à leur domicile;0;1;0;0;0;1;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;1;4;2;2;
