;Ensemble;;;;;;Hommes;;;;;;Femmes;;;;;;;;;;;;
;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;;;;;;;
Ain;160 248;147 635;169 249;80 387;45 169;602 688;81 967;74 784;85 048;39 443;17 340;298 582;78 281;72 851;84 201;40 944;27 829;304 106;;;;;;;
Aisne;140 228;128 538;149 128;76 668;47 356;541 918;71 779;64 461;74 126;36 432;17 062;263 860;68 449;64 077;75 002;40 236;30 294;278 058;;;;;;;
Allier;72 372;69 297;95 820;61 536;44 572;343 597;37 126;34 753;47 434;29 161;16 459;164 933;35 246;34 544;48 386;32 375;28 113;178 664;;;;;;;
Alpes-de-Haute-Provence;35 838;32 130;45 775;29 045;17 775;160 563;18 664;15 843;22 400;13 834;7 042;77 783;17 174;16 287;23 375;15 211;10 733;82 780;;;;;;;
Hautes-Alpes;31 203;28 776;39 579;23 068;14 699;137 325;15 984;14 366;19 620;11 230;5 817;67 017;15 219;14 410;19 959;11 838;8 882;70 308;;;;;;;
Alpes-Maritimes;235 259;249 592;289 081;178 837;128 747;1 081 516;120 715;122 562;138 656;81 817;48 377;512 127;114 544;127 030;150 425;97 020;80 370;569 389;;;;;;;
Ardèche;73 157;66 538;88 866;54 102;35 247;317 910;37 597;33 208;44 468;26 140;13 398;154 811;35 560;33 330;44 398;27 962;21 849;163 099;;;;;;;
Ardennes;70 672;66 255;79 738;41 014;25 296;282 975;36 809;33 273;39 890;19 573;9 251;138 796;33 863;32 982;39 848;21 441;16 045;144 179;;;;;;;
Ariège;33 294;31 628;43 368;26 228;18 756;153 274;17 230;15 804;21 626;12 727;7 402;74 789;16 064;15 824;21 742;13 501;11 354;78 485;;;;;;;
Aube;74 212;71 437;81 788;46 252;29 343;303 032;37 729;36 257;40 362;22 142;10 774;147 264;36 483;35 180;41 426;24 110;18 569;155 768;;;;;;;
Aude;81 501;75 947;97 778;62 508;42 059;359 793;41 707;37 550;47 671;29 919;16 511;173 358;39 794;38 397;50 107;32 589;25 548;186 435;;;;;;;
Aveyron;58 328;55 978;76 936;49 791;38 021;279 054;30 208;28 453;38 779;24 045;15 077;136 562;28 120;27 525;38 157;25 746;22 944;142 492;;;;;;;
Bouches-du-Rhône;479 246;498 860;528 860;289 011;181 135;1 977 112;243 998;244 534;252 454;135 305;67 950;944 241;235 248;254 326;276 406;153 706;113 185;1 032 871;;;;;;;
Calvados;169 283;169 184;183 536;99 287;63 367;684 657;86 282;84 255;90 163;46 264;22 566;329 530;83 001;84 929;93 373;53 023;40 801;355 127;;;;;;;
Cantal;28 526;29 924;43 331;26 519;20 160;148 460;14 568;15 105;22 183;12 779;7 564;72 199;13 958;14 819;21 148;13 740;12 596;76 261;;;;;;;
Charente;77 193;75 108;100 460;59 025;41 761;353 547;39 781;37 904;49 335;28 234;15 937;171 191;37 412;37 204;51 125;30 791;25 824;182 356;;;;;;;
