	Ensemble						Hommes						Femmes														
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total									
Ain	134140	138031	95628	48052	26593	442444	68908	70882	49487	22343	9277	220897	65232	67149	46141	25709	17316	221547									
Aisne	167219	164836	110067	61783	32436	536341	86186	84290	55039	27966	11215	264696	81033	80546	55028	33817	21221	271645									
Allier	92192	99264	84473	56097	33756	365782	47214	50490	41552	25576	12080	176912	44978	48774	42921	30521	21676	188870									
Alpes-de-Haute-Provence	31528	35414	29876	18361	10089	125268	16226	18023	15129	8694	3783	61855	15302	17391	14747	9667	6306	63413									
Hautes-Alpes	29165	32960	24191	15254	7762	109332	15304	16848	12217	7246	2904	54519	13861	16112	11974	8008	4858	54813									
Alpes-Maritimes	206645	253139	218082	151052	93403	922321	105616	124556	104948	64804	33238	433162	101029	128583	113134	86248	60165	489159									
Ardèche	73949	76519	62060	39344	22434	274306	38279	39043	31253	18114	7685	134374	35670	37476	30807	21230	14749	139932									
Ardennes	94927	91376	63586	33197	17871	300957	48756	46687	32249	14934	6112	148738	46171	44689	31337	18263	11759	152219									
Ariège	31654	36260	30943	23019	14800	136676	16380	18596	15386	10992	5818	67172	15274	17664	15557	12027	8982	69504									
Aube	84822	88871	61742	34836	20775	291046	43731	45016	30964	15684	7390	142785	41091	43855	30778	19152	13385	148261									
Aude	69045	77257	65661	47529	28105	287597	36012	39799	31956	22254	10817	140838	33033	37458	33705	25275	17288	146759									
Aveyron	68677	72530	63533	44756	26716	276212	35262	37472	31583	20843	10166	135326	33415	35058	31950	23913	16550	140886									
Bouches-du-Rhône	481751	529431	402833	216335	106894	1737244	246451	261335	200221	97364	36643	842014	235300	268096	202612	118971	70251	895230									
Calvados	192587	192769	121154	66672	32490	605672	97855	96542	58920	29442	10147	292906	94732	96227	62234	37230	22343	312766									
Cantal	42240	44634	35951	24230	13584	160639	21687	23347	18125	11183	4932	79274	20553	21287	17826	13047	8652	81365									
Charente	91737	98498	75596	47185	27971	340987	47021	49709	37427	21799	10071	166027	44716	48789	38169	25386	17900	174960									
Charente-Maritime	139850	145044	114575	77492	42583	519544	72078	72772	56076	35917	15799	252642	67772	72272	58499	41575	26784	266902									
Cher	86466	92906	70887	44337	26629	321225	44264	47280	35915	20159	9561	157179	42202	45626	34972	24178	17068	164046									
Corrèze	56982	64746	54978	40294	23558	240558	29518	33059	27116	18446	8640	116779	27464	31687	27862	21848	14918	123779									
Corse-du-Sud	27898	33683	26889	16865	8018	113353	14380	17844	13946	7619	2802	56591	13518	15839	12943	9246	5216	56762									
Haute-Corse	31777	40436	31337	18919	9549	132018	16282	22299	16718	8649	3391	67339	15495	18137	14619	10270	6158	64679									
Côte-d'Or	146018	153179	100240	53960	30453	483850	73520	76919	50244	24448	10688	235819	72498	76260	49996	29512	19765	248031									
Côtes-d'Armor	151032	146406	119064	81990	40155	538647	77684	75380	58746	36268	12867	260945	73348	71026	60318	45722	27288	277702									
Creuse	29090	33413	31124	24593	17283	135503	15068	17504	15722	11526	6362	66182	14022	15909	15402	13067	10921	69321									
Dordogne	91891	101779	88546	65102	36350	383668	47499	51528	43497	30423	13415	186362	44392	50251	45049	34679	22935	197306									
Doubs	154349	155046	101661	47875	23132	482063	78680	79536	51196	21416	7918	238746	75669	75510	50465	26459	15214	243317									
Drôme	116793	118532	90679	50662	27173	403839	60271	59683	45133	23030	9610	197727	56522	58849	45546	27632	17563	206112									
Eure	155382	154398	99914	51045	26432	487171	79893	78215	50734	23399	9233	241474	75489	76183	49180	27646	17199	245697									
Eure-et-Loir	118164	117018	77494	42836	24087	379599	60861	59357	39474	19850	9118	188660	57303	57661	38020	22986	14969	190939									
Finistère	237342	240759	179925	117636	57568	833230	121991	124302	87748	50502	18976	403519	115351	116457	92177	67134	38592	429711									
Gard	148950	161648	126917	77539	40205	555259	76634	81632	62551	35718	14181	270716	72316	80016	64366	41821	26024	284543									
Haute-Garonne	239182	289216	189629	100450	53800	872277	120752	144347	92588	45566	19259	422512	118430	144869	97041	54884	34541	449765									
Gers	40518	46691	41728	28484	17393	174814	21137	23838	20969	13932	6815	86691	19381	22853	20759	14552	10578	88123									
Gironde	328136	368270	248824	145500	80003	1170733	166939	182278	121367	64922	26303	561809	161197	185992	127457	80578	53700	608924									
Hérault	202836	225909	163026	105215	55741	752727	102913	111095	78819	48088	20001	360916	99923	114814	84207	57127	35740	391811									
Ille-et-Vilaine	243747	241584	157485	88233	41371	772420	123621	121311	77217	38814	12911	373874	120126	120273	80268	49419	28460	398546									
Indre	60775	65686	54064	37091	23373	240989	31234	33865	26983	17200	8678	117960	29541	31821	27081	19891	14695	123029									
Indre-et-Loire	153276	157660	109064	63060	36425	519485	77066	78381	53802	29028	13080	251357	76210	79279	55262	34032	23345	268128									
Isère	298161	310376	213216	100426	50245	972424	153063	157104	107291	45660	16444	479562	145098	153272	105925	54766	33801	492862									
Jura	71484	70679	53723	32344	18132	246362	36788	36136	26947	14788	6550	121209	34696	34543	26776	17556	11582	125153									
Landes	77986	85753	70634	45606	25760	305739	40451	43543	35000	21102	8963	149059	37535	42210	35634	24504	16797	156680									
Loir-et-Cher	83440	86197	64408	41546	25807	301398	42915	43803	32406	19145	9607	147876	40525	42394	32002	22401	16200	153522									
Loire	219364	215308	165426	92576	49694	742368	112494	107985	81779	41425	15874	359557	106870	107323	83647	51151	33820	382811									
Haute-Loire	55523	57723	46249	29624	17834	206953	28671	30182	23137	13493	6202	101685	26852	27541	23112	16131	11632	105268									
Loire-Atlantique	325539	316556	213114	113315	55400	1023924	166333	158801	103700	49662	17190	495686	159206	157755	109414	63653	38210	528238									
Loiret	166452	174003	116376	64260	36052	557143	84747	87889	58567	29477	13487	274167	81705	86114	57809	34783	22565	282976									
Lot	36734	41137	35850	26544	15156	155421	18951	21033	17716	12385	5587	75672	17783	20104	18134	14159	9569	79749									
Lot-et-Garonne	77578	82343	69782	46884	25674	302261	39785	41272	34248	22005	9534	146844	37793	41071	35534	24879	16140	155417									
Lozère	18933	20692	15847	11331	6875	73678	9721	10929	8200	5416	2529	36795	9212	9763	7647	5915	4346	36883									
Maine-et-Loire	231250	207669	136178	76331	42084	693512	117992	103860	66442	34467	14658	337419	113258	103809	69736	41864	27426	356093									
Manche	140501	137611	101602	63715	30192	473621	72207	71098	49752	28654	9415	231126	68294	66513	51850	35061	20777	242495									
Marne	173731	180135	111088	55650	30355	550959	88517	90612	56098	24624	10373	270224	85214	89523	54990	31026	19982	280735									
Haute-Marne	63242	61754	43804	25427	13921	208148	32671	31638	22352	11589	4953	103203	30571	30116	21452	13838	8968	104945									
Mayenne	86062	80153	56847	34342	18044	275448	44300	40866	27949	15566	5907	134588	41762	39287	28898	18776	12137	140860									
Meurthe-et-Moselle	217779	232922	153238	76796	38245	718980	111001	117770	76486	33480	12338	351075	106778	115152	76752	43316	25907	367905									
Meuse	60025	59896	41677	24910	13720	200228	31240	31012	20921	11162	4665	99000	28785	28884	20756	13748	9055	101228									
Morbihan	180979	175836	129892	81044	36845	604596	93559	90220	63988	35612	11836	295215	87420	85616	65904	45432	25009	309381									
Moselle	309413	332141	226470	103880	43424	1015328	159291	169373	115143	45884	14210	503901	150122	162768	111327	57996	29214	511427									
Nièvre	59620	64804	52094	36644	23456	236618	30841	33147	26020	16675	8430	115113	28779	31657	26074	19969	15026	121505									
Nord	837163	793286	501023	257281	127074	2515827	428082	398503	247236	110762	39838	1224421	409081	394783	253787	146519	87236	1291406									
Oise	227752	226631	141511	63248	33652	692794	116895	115439	73236	28867	11558	345995	110857	111192	68275	34381	22094	346799									
Orne	88800	85509	63708	38496	20056	296569	45712	43617	31381	17593	6692	144995	43088	41892	32327	20903	13364	151574									
Pas-de-Calais	466691	432547	288800	163514	73759	1425311	238851	218783	140381	70173	23295	691483	227840	213764	148419	93341	50464	733828									
Puy-de-Dôme	166706	184964	133469	73129	38439	596707	84826	93679	66725	33022	12860	291112	81880	91285	66744	40107	25579	305595									
