	Ensemble						Hommes						Femmes																																																																																			
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total																																																																														
Ain	139298	142812	107851	51385	29305	470651	71324	72841	55901	24176	10366	234608	67974	69971	51950	27209	18939	236043																																																																														
Aisne	162241	159798	115301	66035	33521	536896	82965	81242	58073	30191	11506	263977	79276	78556	57228	35844	22015	272919																																																																														
Allier	85633	95503	84518	57023	35275	357952	43758	48440	41804	26112	12657	172771	41875	47063	42714	30911	22618	185181																																																																														
Alpes-de-Haute-Provence	32010	36578	31381	19799	11143	130911	16442	18636	15672	9476	4249	64475	15568	17942	15709	10323	6894	66436																																																																														
Hautes-Alpes	29569	33317	25823	15826	8730	113265	15403	16958	13083	7547	3282	56273	14166	16359	12740	8279	5448	56992																																																																														
Alpes-Maritimes	215109	263257	232984	157821	103209	972380	110205	128627	111939	69087	36975	456833	104904	134630	121045	88734	66234	515547																																																																														
Ardèche	72027	76142	64524	40801	24157	277651	37147	38827	32597	19092	8516	136179	34880	37315	31927	21709	15641	141472																																																																														
Ardennes	90220	86988	65214	35136	18592	296150	46128	44098	33184	15990	6335	145735	44092	42890	32030	19146	12257	150415																																																																														
Ariège	31068	35791	31076	23381	15365	136681	16020	18345	15610	11194	6035	67204	15048	17446	15466	12187	9330	69477																																																																														
Aube	81304	85041	65400	35838	21555	289138	41753	43034	33009	16264	7647	141707	39551	42007	32391	19574	13908	147431																																																																														
Aude	70250	80252	68278	49919	30218	298917	36464	41585	33476	23661	11590	146776	33786	38667	34802	26258	18628	152141																																																																														
Aveyron	63814	70063	63134	44379	29018	270408	32756	36260	31486	21082	11110	132694	31058	33803	31648	23297	17908	137714																																																																														
Bouches-du-Rhône	470370	525915	421957	223891	115931	1758064	240887	258793	209149	101740	40258	850827	229483	267122	212808	122151	75673	907237																																																																														
Calvados	186832	190510	132368	72120	36287	618117	95082	94802	64665	32408	11521	298478	91750	95708	67703	39712	24766	319639																																																																														
Cantal	39331	43619	36336	24847	14707	158840	20123	22674	18433	11639	5381	78250	19208	20945	17903	13208	9326	80590																																																																														
Charente	88321	96427	78381	48788	30124	342041	45334	48584	38848	22813	10990	166569	42987	47843	39533	25975	19134	175472																																																																														
Charente-Maritime	134963	141691	120654	82779	47099	527186	69251	71041	59325	38567	17754	255938	65712	70650	61329	44212	29345	271248																																																																														
Cher	82551	90482	74890	45300	28264	321487	42144	46103	37997	20939	10086	157269	40407	44379	36893	24361	18178	164218																																																																														
Corrèze	53968	62618	55433	40810	25222	238051	27783	31979	27604	18775	9262	115403	26185	30639	27829	22035	15960	122648																																																																														
Corse-du-Sud	29340	34348	28416	17572	8776	118452	15227	17232	14666	8124	3080	58329	14113	17116	13750	9448	5696	60123																																																																														
Haute-Corse	31317	38877	31527	19280	10192	131193	15904	20178	16606	8860	3732	65280	15413	18699	14921	10420	6460	65913																																																																														
Côte-d'Or	140325	153146	109584	56834	33582	493471	70870	76084	55152	25885	11945	239936	69455	77062	54432	30949	21637	253535																																																																														
Côtes-d'Armor	144313	140692	123019	85987	44432	538443	73763	72526	61033	38584	14691	260597	70550	68166	61986	47403	29741	277846																																																																														
Creuse	27121	32121	29990	24802	17551	131585	14030	16835	15286	11717	6420	64288	13091	15286	14704	13085	11131	67297																																																																														
Dordogne	89277	100142	90337	67655	39279	386690	45972	50529	44560	31856	14637	187554	43305	49613	45777	35799	24642	199136																																																																														
Doubs	145244	150401	110536	51791	26292	484264	74190	75886	55957	23495	9153	238681	71054	74515	54579	28296	17139	245583																																																																														
Drôme	116144	118568	96221	53296	29600	413829	59634	59610	47929	24709	10572	202454	56510	58958	48292	28587	19028	211375																																																																														
Eure	159577	157386	112269	55675	28558	513465	81914	79502	57245	25993	9876	254530	77663	77884	55024	29682	18682	258935																																																																														
Eure-et-Loir	120542	116738	85881	46089	26433	395683	61768	58494	43999	21550	9997	195808	58774	58244	41882	24539	16436	199875																																																																														
Finistère	228199	238713	186530	120812	64112	838366	117062	123504	91867	52639	21244	406316	111137	115209	94663	68173	42868	432050																																																																														
Gard	153361	167789	136652	82899	44281	584982	78616	84552	67746	38408	15927	285249	74745	83237	68906	44491	28354	299733																																																																														
Haute-Garonne	236462	307735	212365	107885	60669	925116	120108	153603	104244	49099	21908	448962	116354	154132	108121	58786	38761	476154																																																																														
Gers	38892	45792	41858	29504	18700	174746	20120	23455	21012	14466	7423	86476	18772	22337	20846	15038	11277	88270																																																																														
Gironde	322923	376080	274384	153481	86672	1213540	164528	185624	134972	69109	28974	583207	158395	190456	139412	84372	57698	630333																																																																														
Hérault	204223	236860	180042	112314	61203	794642	103894	115615	87557	51734	22420	381220	100329	121245	92485	60580	38783	413422																																																																														
Ille-et-Vilaine	236230	247390	173092	93790	47283	797785	120337	124077	85314	42091	15298	387117	115893	123313	87778	51699	31985	410668																																																																														
Indre	56660	63590	54974	37509	24876	237609	29031	32552	27611	17538	9305	116037	27629	31038	27363	19971	15571	121572																																																																														
Indre-et-Loire	146813	158141	117965	66018	40213	529150	74173	78240	58427	30525	14616	255981	72640	79901	59538	35493	25597	273169																																																																														
Isère	298116	318256	233911	108987	55968	1015238	152991	160586	118163	50000	18709	500449	145125	157670	115748	58987	37259	514789																																																																														
Jura	68999	69811	56319	33936	19642	248707	35435	35637	28401	15713	7184	122370	33564	34174	27918	18223	12458	126337																																																																														
Landes	76092	85443	73204	48774	27994	311507	39340	43761	36357	22982	9822	152262	36752	41682	36847	25792	18172	159245																																																																														
Loir-et-Cher	80847	84815	68396	43946	27865	305869	41325	43209	34334	20781	10357	150006	39522	41606	34062	23165	17508	155863																																																																														
Loire	210770	209651	173986	97163	54531	746101	108016	104943	86438	43768	17947	361112	102754	104708	87548	53395	36584	384989																																																																														
Haute-Loire	53618	56609	47397	30641	18393	206658	27568	29579	24092	14121	6397	101757	26050	27030	23305	16520	11996	104901																																																																														
Loire-Atlantique	318047	314691	234137	120940	62724	1050539	162280	157699	114961	53476	20336	508752	155767	156992	119176	67464	42388	541787																																																																														
Loiret	167195	174410	129692	68871	39842	580010	85009	87694	65524	31841	14899	284967	82186	86716	64168	37030	24943	295043																																																																														
Lot	35529	39912	36555	27493	16481	155970	18354	20289	18153	13023	6117	75936	17175	19623	18402	14470	10364	80034																																																																														
Lot-et-Garonne	76243	81101	71651	48832	27970	305797	39118	40576	35321	22998	10547	148560	37125	40525	36330	25834	17423	157237																																																																														
Lozère	17916	19826	16438	11295	7388	72863	9198	10491	8546	5513	2722	36470	8718	9335	7892	5782	4666	36393																																																																														
Maine-et-Loire	223289	207810	146402	80364	46803	704668	113943	103938	71787	36835	16574	343077	109346	103872	74615	43529	30229	361591																																																																														
Manche	137940	136991	104279	67228	33141	479579	70790	71187	51597	30801	10671	235046	67150	65804	52682	36427	22470	244533																																																																														
Marne	166598	177443	121936	58721	32938	557636	84951	88904	61582	26355	11295	273087	81647	88539	60354	32366	21643	284549																																																																														
Haute-Marne	58976	58972	45100	26022	14969	204039	30344	30249	23072	11966	5372	101003	28632	28723	22028	14056	9597	103036																																																																														
Mayenne	83287	78529	59839	35671	20422	277748	42752	40265	29597	16568	6959	136141	40535	38264	30242	19103	13463	141607																																																																														
Meurthe-et-Moselle	204239	223578	160020	81758	41772	711367	104211	112154	79813	36247	13624	346049	100028	111424	80207	45511	28148	365318																																																																														
Meuse	56967	56622	42372	25950	14371	196282	29502	29201	21406	11887	4898	96894	27465	27421	20966	14063	9473	99388																																																																														
Morbihan	177690	176398	137389	86139	42107	619723	91524	90917	67929	38715	13709	302794	86166	85481	69460	47424	28398	316929																																																																														
