	Ensemble						Hommes						Femmes																																																			
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total																																														
Ain	139286	145208	119558	59792	27291	491135	71287	73649	61685	28116	9499	244236	67999	71559	57873	31676	17792	246899																																														
Aisne	154288	154892	123086	75994	29666	537926	78909	78402	62408	34490	9816	264025	75379	76490	60678	41504	19850	273901																																														
Allier	78324	92086	86274	64192	31565	352441	40021	46669	42883	29194	10928	169695	38303	45417	43391	34998	20637	182746																																														
Alpes-de-Haute-Provence	32173	36485	33473	22693	10392	135216	16496	18415	16836	10829	3918	66494	15677	18070	16637	11864	6474	68722																																														
Hautes-Alpes	29317	33047	28092	17769	8464	116689	15150	16711	14197	8465	3123	57646	14167	16336	13895	9304	5341	59043																																														
Alpes-Maritimes	218494	266876	243859	172109	97441	998779	111892	129657	117202	75981	34130	468862	106602	137219	126657	96128	63311	529917																																														
Ardèche	68955	75184	68509	46300	21949	280897	35506	38299	34684	21782	7457	137728	33449	36885	33825	24518	14492	143169																																														
Ardennes	84239	84786	68015	41210	16010	294260	43205	43043	34652	18709	5280	144889	41034	41743	33363	22501	10730	149371																																														
Ariège	29784	34896	32297	26168	13468	136613	15358	17756	16381	12448	5173	67116	14426	17140	15916	13720	8295	69497																																														
Aube	77582	83837	70050	40697	19802	291968	39880	42422	35410	18421	6940	143073	37702	41415	34640	22276	12862	148895																																														
Aude	68321	79409	71045	56410	27384	302569	35335	40724	35112	26404	10333	147908	32986	38685	35933	30006	17051	154661																																														
Aveyron	58910	67737	64316	50000	26062	267025	30398	35035	32482	23591	9671	131177	28512	32702	31834	26409	16391	135848																																														
Bouches-du-Rhône	459048	530003	445647	248146	111378	1794222	235254	259666	220101	112543	38799	866363	223794	270337	225546	135603	72579	927859																																														
Calvados	177604	190942	144749	83406	34481	631182	90197	94909	71399	37216	10921	304642	87407	96033	73350	46190	23560	326540																																														
Cantal	35154	41559	37431	28048	13382	155574	18075	21459	19200	13119	4744	76597	17079	20100	18231	14929	8638	78977																																														
Charente	82489	93495	82396	55834	27536	341750	42337	47123	41186	25940	9837	166423	40152	46372	41210	29894	17699	175327																																														
Charente-Maritime	128083	141594	129230	95632	43721	538260	65840	70918	63596	44632	16040	261026	62243	70676	65634	51000	27681	277234																																														
Cher	76744	87604	77958	51420	25568	319294	39248	44672	39494	23908	8869	156191	37496	42932	38464	27512	16699	163103																																														
Corrèze	49744	60744	57025	45484	22830	235827	25644	31115	28583	20817	8139	114298	24100	29629	28442	24667	14691	121529																																														
Corse-du-Sud	28802	33440	29759	19268	8408	119677	14932	16474	15268	8969	2907	58550	13870	16966	14491	10299	5501	61127																																														
Haute-Corse	31572	39571	34331	21725	10101	137300	16118	20029	18151	10068	3613	67979	15454	19542	16180	11657	6488	69321																																														
Côte-d'Or	133052	154112	117597	65108	31060	500929	67305	76203	59094	29596	10770	242968	65747	77909	58503	35512	20290	257961																																														
Côtes-d'Armor	133417	137860	128104	96699	40713	536793	68399	70934	63930	43345	13044	259652	65018	66926	64174	53354	27669	277141																																														
Creuse	24868	30828	29899	27425	14939	127959	12813	16099	15351	12941	5263	62467	12055	14729	14548	14484	9676	65492																																														
Dordogne	83891	97458	93636	75761	36368	387114	43044	49225	46391	35459	13284	187403	40847	48233	47245	40302	23084	199711																																														
Doubs	138346	151191	117669	60427	25179	492812	70645	76037	59389	27635	8582	242288	67701	75154	58280	32792	16597	250524																																														
Drôme	113676	118435	103539	61080	27896	424626	58441	59524	51576	28190	9928	207659	55235	58911	51963	32890	17968	216967																																														
Eure	155018	156556	124948	64861	27608	528991	79567	78748	63768	30069	9247	261399	75451	77808	61180	34792	18361	267592																																														
Eure-et-Loir	116521	115774	95453	52661	24884	405293	59607	58053	48914	24509	9160	200243	56914	57721	46539	28152	15724	205050																																														
Finistère	213948	238123	194407	134880	59207	840565	109934	123247	96813	58798	18803	407595	104014	114876	97594	76082	40404	432970																																														
Gard	152037	167407	147270	94408	41774	602896	77781	83697	73225	43657	14978	293338	74256	83710	74045	50751	26796	309558																																														
Haute-Garonne	237995	327540	232411	123093	58071	979110	121156	163141	114222	55910	20877	475306	116839	164399	118189	67183	37194	503804																																														
Gers	36162	44004	42728	33549	16751	173194	18701	22431	21520	16346	6464	85462	17461	21573	21208	17203	10287	87732																																														
Gironde	312738	382979	299421	173039	81049	1249226	159453	188627	147249	77678	26975	599982	153285	194352	152172	95361	54074	649244																																														
Hérault	206876	248663	196942	128832	58255	839568	105400	121010	95666	58991	21235	402302	101476	127653	101276	69841	37020	437266																																														
Ille-et-Vilaine	228976	257186	186973	108238	44724	826097	116622	129125	92523	48530	14350	401150	112354	128061	94450	59708	30374	424947																																														
Indre	51982	61626	56407	42229	22333	234577	26586	31512	28601	19714	8140	114553	25396	30114	27806	22515	14193	120024																																														
Indre-et-Loire	139673	160650	127254	75108	37878	540563	70481	79381	62911	34701	13438	260912	69192	81269	64343	40407	24440	279651																																														
Isère	293053	326213	253224	126427	53015	1051932	150439	164642	127593	58134	17721	518529	142614	161571	125631	68293	35294	533403																																														
Jura	65625	69330	59097	38458	17784	250294	33612	35314	29952	17768	6387	123033	32013	34016	29145	20690	11397	127261																																														
Landes	73092	85461	78141	56116	25820	318630	37810	43750	38734	26368	8849	155511	35282	41711	39407	29748	16971	163119																																														
Loir-et-Cher	76678	84228	73207	50700	25659	310472	39295	42720	36826	23882	9313	152036	37383	41508	36381	26818	16346	158436																																														
Loire	196507	205877	180127	109929	50219	742659	100684	103159	89615	49267	16351	359076	95823	102718	90512	60662	33868	383583																																														
Haute-Loire	50629	55778	49045	34841	16215	206508	26132	28905	25212	15936	5490	101675	24497	26873	23833	18905	10725	104833																																														
Loire-Atlantique	307234	323546	257192	140935	58947	1087854	156787	162328	126711	62148	18764	526738	150447	161218	130481	78787	40183	561116																																														
Loiret	163532	176824	142584	80045	37210	600195	83317	88591	71900	37073	13582	294463	80215	88233	70684	42972	23628	305732																																														
Lot	33853	39249	38179	31417	14996	157694	17383	19997	19030	14848	5522	76780	16470	19252	19149	16569	9474	80914																																														
Lot-et-Garonne	71329	78457	74148	54216	25894	304044	36614	39159	36649	25288	9656	147366	34715	39298	37499	28928	16238	156678																																														
Lozère	16779	19579	17498	12440	6636	72932	8643	10244	9207	6084	2420	36598	8136	9335	8291	6356	4216	36334																																														
Maine-et-Loire	211041	210634	158706	93162	43494	717037	107851	105395	78524	42419	15055	349244	103190	105239	80182	50743	28439	367793																																														
Manche	129896	133604	107877	77244	31158	479779	66775	69047	54084	35297	9948	235151	63121	64557	53793	41947	21210	244628																																														
Marne	156634	177643	131460	67231	30389	563357	79930	88970	66099	30248	10166	275413	76704	88673	65361	36983	20223	287944																																														
Haute-Marne	53843	56107	46933	29545	13463	199891	27831	28704	24012	13598	4658	98803	26012	27403	22921	15947	8805	101088																																														
Mayenne	78561	78536	63125	41445	18902	280569	40515	40550	31359	19273	6348	138045	38046	37986	31766	22172	12554	142524																																														
Meurthe-et-Moselle	193627	222583	167205	95359	37744	716518	98929	111352	83288	42476	11969	348014	94698	111231	83917	52883	25775	368504																																														
Meuse	53212	55236	44635	29705	12690	195478	27485	28501	22708	13645	4176	96515	25727	26735	21927	16060	8514	98963																																														
Morbihan	166539	175245	145686	99851	39807	627128	85665	90316	72295	44872	12783	305931	80874	84929	73391	54979	27024	321197																																														
Moselle	279148	317493	242285	134182	44481	1017589	143603	160139	122861	61031	14431	502065	135545	157354	119424	73151	30050	515524																																														
Nièvre	52702	58600	55337	42431	21076	230146	27044	29801	27974	19423	7319	111561	25658	28799	27363	23008	13757	118585																																														
Nord	777695	777423	560248	314682	114930	2544978	397716	387527	278497	136621	34458	1234819	379979	389896	281751	178061	80472	1310159																																														
Oise	227269	229675	180788	80180	33450	751362	116664	115327	93441	37030	11307	373769	110605	114348	87347	43150	22143	377593																																														
Orne	78667	79886	68719	47057	20047	294376	40466	40772	34464	21796	6669	144167	38201	39114	34255	25261	13378	150209																																														
Pas-de-Calais	434023	418108	317892	194207	72575	1436805	222149	210820	157681	84109	21772	696531	211874	207288	160211	110098	50803	740274																																														
Puy-de-Dôme	145870	177759	150691	87749	37423	599492	74297	89073	75861	39522	12502	291255	71573	88686	74830	48227	24921	308237																																														
Pyrénées-Atlantiques	138666	163956	142217	94849	47106	586794	71269	82311	69563	43189	16073	282405	67397	81645	72654	51660	31033	304389																																														
Hautes-Pyrénées	48650	60339	56157	39462	19226	223834	24962	30664	27747	18124	6771	108268	23688	29675	28410	21338	12455	115566																																														
Pyrénées-Orientales	85694	97008	87734	71122	33296	374854	43853	47774	42078	32772	12619	179096	41841	49234	45656	38350	20677	195758																																														
Bas-Rhin	258826	325928	231775	121693	49148	987370	131647	163211	118273	52652	15027	480810	127179	162717	113502	69041	34121	506560																																														
Haut-Rhin	184400	214045	166583	89393	33942	688363	94495	108172	85432	39438	10143	337680	89905	105873	81151	49955	23799	350683																																														
Rhône	416415	489354	369046	188566	82763	1546144	211421	240770	182553	84186	26222	745152	204994	248584	186493	104380	56541	800992																																														
Haute-Saône	62010	62979	54895	33313	15351	228548	32029	32318	28251	15338	5299	113235	29981	30661	26644	17975	10052	115313																																														
Saône-et-Loire	137829	148264	135181	91159	42738	555171	71017	75427	67961	41973	14600	270978	66812	72837	67220	49186	28138	284193																																														
Sarthe	139077	149777	120192	75469	35950	520465	71212	75762	60029	34934	12699	254636	67865	74015	60163	40535	23251	265829																																														
Savoie	94074	109179	87398	48463	21189	360303	48321	55523	44103	22084	7298	177329	45753	53656	43295	26379	13891	182974																																														
Haute-Savoie	165574	189126	149425	68328	28131	600584	85142	95740	75729	31120	9632	297363	80432	93386	73696	37208	18499	303221																																														
Paris	413361	773672	526766	261177	154880	2129856	207904	374341	254981	107867	48876	993969	205457	399331	271785	153310	106004	1135887																																														
Seine-Maritime	351228	374668	287019	155348	68511	1236774	179269	186401	142827	68929	22057	599483	171959	188267	144192	86419	46454	637291																																														
Seine-et-Marne	354084	356807	283383	104876	47840	1146990	181830	176034	144984	48315	16069	567232	172254	180773	138399	56561	31771	579758																																														
Yvelines	396618	411082	350749	129260	52559	1340268	203129	203290	176741	59816	17092	660068	193489	207792	174008	69444	35467	680200																																														
Deux-Sèvres	87876	94894	81270	54700	26441	345181	45360	48357	40927	25959	10149	170752	42516	46537	40343	28741	16292	174429																																														
Somme	154277	165875	124854	74406	31747	551159	78617	82994	62570	33902	10801	268884	75660	82881	62284	40504	20946	282275																																														
Tarn	80150	88812	82610	61228	29509	342309	41398	44867	40676	28717	10849	166507	38752	43945	41934	32511	18660	175802																																														
Tarn-et-Garonne	48712	55091	48764	34725	16562	203854	24983	27925	24419	16280	6225	99832	23729	27166	24345	18445	10337	104022																																														
Var	205199	228159	208341	148488	66116	856303	105693	113496	102186	68822	23915	414112	99506	114663	106155	79666	42201	442191																																														
Vaucluse	126987	136218	118523	69818	30837	482383	65211	67414	59173	32082	10868	234748	61776	68804	59350	37736	19969	247635																																														
Vendée	140009	143467	119449	83753	35835	522513	72099	73553	60099	39151	12640	257542	67910	69914	59350	44602	23195	264971																																														
Vienne	96971	115301	89126	57609	29163	388170	49486	57323	44654	27191	10709	189363	47485	57978	44472	30418	18454	198807																																														
Haute-Vienne	77602	98433	87265	60133	31311	354744	39676	48863	43490	27398	11088	170515	37926	49570	43775	32735	20223	184229																																														
Vosges	103898	107692	90998	55959	25735	384282	53466	55017	46048	24883	8255	187669	50432	52675	44950	31076	17480	196613																																														
Yonne	85033	87480	76714	53021	26659	328907	43860	44429	39424	24547	9440	161700	41173	43051	37290	28474	17219	167207																																														
