	Ensemble						Hommes						Femmes																																																
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total																																											
Ain	139266	144996	122405	61197	27263	495127	71297	73445	62983	28832	9538	246095	67969	71551	59422	32365	17725	249032																																											
Aisne	152767	153222	125346	77602	29387	538324	78223	77489	63519	35183	9766	264180	74544	75733	61827	42419	19621	274144																																											
Allier	76970	90782	87056	65145	31105	351058	39440	45958	43357	29459	10836	169050	37530	44824	43699	35686	20269	182008																																											
Alpes-de-Haute-Provence	32295	36287	34114	23259	10437	136392	16608	18225	17200	11085	3904	67022	15687	18062	16914	12174	6533	69370																																											
Hautes-Alpes	29321	32833	28682	18207	8487	117530	15115	16614	14440	8695	3124	57988	14206	16219	14242	9512	5363	59542																																											
Alpes-Maritimes	218558	264742	245410	173257	96735	998702	111927	128517	117747	76643	33791	468625	106631	136225	127663	96614	62944	530077																																											
Ardèche	68314	74763	69543	47122	21745	281487	35134	38122	35179	22164	7419	138018	33180	36641	34364	24958	14326	143469																																											
Ardennes	82817	83770	68844	42159	15778	293368	42508	42573	34984	19165	5184	144414	40309	41197	33860	22994	10594	148954																																											
Ariège	29566	34533	32742	26459	13196	136496	15314	17509	16651	12545	5061	67080	14252	17024	16091	13914	8135	69416																																											
Aube	76916	83204	71101	41672	19682	292575	39432	42180	35851	18911	6907	143281	37484	41024	35250	22761	12775	149294																																											
Aude	68234	78582	72170	57261	27157	303404	35205	40223	35642	26760	10217	148047	33029	38359	36528	30501	16940	155357																																											
Aveyron	58013	66987	64717	51129	25627	266473	29895	34694	32710	24096	9473	130868	28118	32293	32007	27033	16154	135605																																											
Bouches-du-Rhône	457907	528538	451543	252033	112181	1802202	234556	258912	222583	114275	39224	869550	223351	269626	228960	137758	72957	932652																																											
Calvados	176014	189665	148045	85332	34682	633738	89442	94223	73229	37999	11027	305920	86572	95442	74816	47333	23655	327818																																											
Cantal	34134	40910	37859	28523	13204	154630	17571	21105	19441	13320	4691	76128	16563	19805	18418	15203	8513	78502																																											
Charente	81190	92240	83492	57150	27299	341371	41638	46527	41608	26605	9759	166137	39552	45713	41884	30545	17540	175234																																											
Charente-Maritime	126840	140592	131809	97832	43706	540779	65165	70512	64807	45547	16015	262046	61675	70080	67002	52285	27691	278733																																											
Cher	75454	86351	78716	52471	25258	318250	38636	43901	39945	24388	8762	155632	36818	42450	38771	28083	16496	162618																																											
Corrèze	48875	59970	57746	46245	22586	235422	25231	30765	28918	21114	8079	114107	23644	29205	28828	25131	14507	121315																																											
Corse-du-Sud	28658	32918	30237	19474	8466	119753	14877	16085	15506	9045	2946	58459	13781	16833	14731	10429	5520	61294																																											
Haute-Corse	31687	39538	35072	22181	10185	138663	16162	19941	18503	10299	3599	68504	15525	19597	16569	11882	6586	70159																																											
Côte-d'Or	131910	153422	119884	66392	31159	502767	66657	75857	60094	30243	10805	243656	65253	77565	59790	36149	20354	259111																																											
Côtes-d'Armor	131553	136610	129616	98424	40806	537009	67419	70275	64715	44117	13156	259682	64134	66335	64901	54307	27650	277327																																											
Creuse	24369	30378	29907	27881	14467	127002	12556	15825	15377	13154	5085	61997	11813	14553	14530	14727	9382	65005																																											
Dordogne	82838	96169	94872	76946	36116	386941	42541	48578	47031	35892	13246	187288	40297	47591	47841	41054	22870	199653																																											
Doubs	137444	150491	119581	62215	25332	495063	70179	75656	60184	28470	8622	243111	67265	74835	59397	33745	16710	251952																																											
Drôme	113619	118132	105277	62612	27868	427508	58373	59369	52382	28927	9896	208947	55246	58763	52895	33685	17972	218561																																											
Eure	153932	155410	127903	66583	27849	531677	79027	78118	65223	30832	9347	262547	74905	77292	62680	35751	18502	269130																																											
Eure-et-Loir	115393	114792	97444	53859	24880	406368	59059	57513	49909	25088	9105	200674	56334	57279	47535	28771	15775	205694																																											
Finistère	211611	236433	196981	137201	59072	841298	108683	122342	98419	59768	18725	407937	102928	114091	98562	77433	40347	433361																																											
Gard	152072	165641	149870	95829	42001	605413	77783	82602	74519	44268	15185	294357	74289	83039	75351	51561	26816	311056																																											
Haute-Garonne	239441	329948	237646	125956	58142	991133	121908	164261	116787	57158	20907	481021	117533	165687	120859	68798	37235	510112																																											
Gers	35713	43143	43239	34066	16489	172650	18474	21937	21809	16566	6389	85175	17239	21206	21430	17500	10100	87475																																											
Gironde	311657	381964	305608	176174	81062	1256465	158854	187956	150207	79098	27133	603248	152803	194008	155401	97076	53929	653217																																											
Hérault	208322	250132	201490	131478	58615	850037	106145	121620	97672	60237	21480	407154	102177	128512	103818	71241	37135	442883																																											
Ille-et-Vilaine	227781	258500	190739	110849	44986	832855	115944	129714	94518	49740	14510	404426	111837	128786	96221	61109	30476	428429																																											
Indre	51162	60896	56813	43337	21848	234056	26152	31135	28787	20186	7989	114249	25010	29761	28026	23151	13859	119807																																											
Indre-et-Loire	139007	160244	129635	76895	37701	543482	70139	79150	64037	35475	13381	262182	68868	81094	65598	41420	24320	281300																																											
Isère	292227	326290	258287	129956	53008	1059768	149809	164812	129901	59846	17832	522200	142418	161478	128386	70110	35176	537568																																											
Jura	64905	68847	59963	39060	17734	250509	33283	34992	30423	18024	6374	123096	31622	33855	29540	21036	11360	127413																																											
Landes	72467	84898	79324	57475	25614	319778	37474	43417	39354	26947	8792	155984	34993	41481	39970	30528	16822	163794																																											
Loir-et-Cher	76039	83686	74383	51980	25502	311590	38972	42416	37409	24448	9275	152520	37067	41270	36974	27532	16227	159070																																											
Loire	193568	203482	181616	111700	49825	740191	98987	102184	90243	50013	16260	357687	94581	101298	91373	61687	33565	382504																																											
