	Ensemble						Hommes						Femmes																																																																					
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total																																																																
Ain	140999	143846	128419	61294	29643	504201	72264	72724	65726	29031	10616	250361	68735	71122	62693	32263	19027	253840																																																																
Aisne	150713	148508	130143	75769	32618	537751	77043	75079	65941	34225	11244	263532	73670	73429	64202	41544	21374	274219																																																																
Allier	75330	87333	88689	63312	33536	348200	38609	44221	44085	28612	11866	167393	36721	43112	44604	34700	21670	180807																																																																
Alpes-de-Haute-Provence	32988	35310	35410	23081	11584	138373	17047	17595	17856	10989	4416	67903	15941	17715	17554	12092	7168	70470																																																																
Hautes-Alpes	29697	32160	30178	18046	9352	119433	15317	16159	15171	8615	3526	58788	14380	16001	15007	9431	5826	60645																																																																
Alpes-Maritimes	220480	260726	250775	167079	103300	1002360	112980	126231	120030	74145	36598	469984	107500	134495	130745	92934	66702	532376																																																																
Ardèche	68299	73281	72113	46218	23900	283811	35102	37428	36381	21871	8375	139157	33197	35853	35732	24347	15525	144654																																																																
Ardennes	81186	81179	70752	41733	17325	292175	41817	41199	35949	18999	5913	143877	39369	39980	34803	22734	11412	148298																																																																
Ariège	29498	33412	33961	25481	14192	136544	15266	16918	17315	12021	5497	67017	14232	16494	16646	13460	8695	69527																																																																
Aube	76304	81160	73167	41093	20988	292712	39117	41119	36785	18652	7436	143109	37187	40041	36382	22441	13552	149603																																																																
Aude	68909	76644	74866	55289	29896	305604	35516	38886	37023	25813	11428	148666	33393	37758	37843	29476	18468	156938																																																																
Aveyron	56889	64998	65570	50340	27230	265027	29448	33656	33152	23812	10259	130327	27441	31342	32418	26528	16971	134700																																																																
Bouches-du-Rhône	459882	521386	462583	248187	123233	1815271	235451	255138	226888	112950	44014	874441	224431	266248	235695	135237	79219	940830																																																																
