	Ensemble						Hommes						Femmes																																																										
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total																																																					
Ain	141876	143604	131683	61484	30873	509520	72720	72512	67258	29257	11120	252867	69156	71092	64425	32227	19753	256653																																																					
Aisne	149465	146111	132305	74862	33886	536629	76419	73833	66998	33824	11841	262915	73046	72278	65307	41038	22045	273714																																																					
Allier	74521	85707	89502	62214	34696	346640	38184	43405	44472	28084	12411	166556	36337	42302	45030	34130	22285	180084																																																					
Alpes-de-Haute-Provence	33157	34864	36254	23166	12013	139454	17111	17348	18254	11018	4611	68342	16046	17516	18000	12148	7402	71112																																																					
Hautes-Alpes	29966	32031	31117	18094	9764	120972	15436	16077	15628	8624	3739	59504	14530	15954	15489	9470	6025	61468																																																					
Alpes-Maritimes	221683	259341	254532	164928	105798	1006282	113546	125478	121750	73353	37690	471817	108137	133863	132782	91575	68108	534465																																																					
Ardèche	68374	72432	73624	45845	24906	285181	35177	37012	37078	21712	8938	139917	33197	35420	36546	24133	15968	145264																																																					
Ardennes	80256	80051	71569	41381	18072	291329	41405	40663	36312	18870	6190	143440	38851	39388	35257	22511	11882	147889																																																					
Ariège	29460	33006	34611	25042	14613	136732	15232	16743	17628	11780	5689	67072	14228	16263	16983	13262	8924	69660																																																					
Aube	76090	79947	74196	40774	21669	292676	38958	40487	37317	18522	7697	142981	37132	39460	36879	22252	13972	149695																																																					
Aude	69427	76102	76775	54862	30959	308125	35761	38443	38001	25590	11898	149693	33666	37659	38774	29272	19061	158432																																																					
Aveyron	56375	64050	66250	49532	28212	264419	29221	33168	33531	23400	10737	130057	27154	30882	32719	26132	17475	134362																																																					
Bouches-du-Rhône	461031	518834	470184	246692	127649	1824390	236118	253898	229980	112514	45913	878423	224913	264936	240204	134178	81736	945967																																																					
Calvados	175280	184910	158782	84835	40706	644513	88816	92167	78476	37917	13599	310975	86464	92743	80306	46918	27107	333538																																																					
Cantal	32052	38164	39254	27585	14786	151841	16534	19722	20165	12934	5446	74801	15518	18442	19089	14651	9340	77040																																																					
Charente	79002	87363	87554	55494	30519	339932	40559	44144	43539	26010	11176	165428	38443	43219	44015	29484	19343	174504																																																					
Charente-Maritime	127131	137066	141090	96629	50725	552641	65387	68815	69192	45092	19144	267630	61744	68251	71898	51537	31581	285011																																																					
Cher	73516	81289	81440	51390	27620	315255	37704	41167	41303	23992	9853	154019	35812	40122	40137	27398	17767	161236																																																					
Corrèze	47443	56871	60028	43662	25343	233347	24519	29303	30064	19959	9290	113135	22924	27568	29964	23703	16053	120212																																																					
Corse-du-Sud	28002	30905	31228	18844	9484	118463	14505	14966	15768	8856	3349	57444	13497	15939	15460	9988	6135	61019																																																					
Haute-Corse	31937	38726	36793	22078	11469	141003	16430	19306	19034	10441	4113	69324	15507	19420	17759	11637	7356	71679																																																					
Côte-d'Or	130579	149120	126469	65075	34969	506212	65960	73477	63213	29697	12441	244788	64619	75643	63256	35378	22528	261424																																																					
Côtes-d'Armor	130021	131730	135742	96505	47393	541391	66764	67583	68017	43413	15991	261768	63257	64147	67725	53092	31402	279623																																																					
Creuse	23765	28580	30834	26258	15877	125314	12281	14828	15938	12275	5804	61126	11484	13752	14896	13983	10073	64188																																																					
Dordogne	81681	91511	99999	74008	40851	388050	42030	45984	49635	34623	15402	187674	39651	45527	50364	39385	25449	200376																																																					
Doubs	135391	146724	124760	63089	28649	498613	69167	73653	62457	29103	10013	244393	66224	73071	62303	33986	18636	254220																																																					
Drôme	115021	114786	111637	62065	31747	435256	59160	57340	55577	28830	11612	212519	55861	57446	56060	33235	20135	222737																																																					
Eure	153120	150479	137694	66761	31554	539608	78573	75620	69738	30978	11026	265935	74547	74859	67956	35783	20528	273673																																																					
Eure-et-Loir	112828	110796	103669	53057	27862	408212	57755	55666	52740	24829	10429	201419	55073	55130	50929	28228	17433	206793																																																					
Finistère	210474	229862	208220	133944	67279	849779	108167	119100	104333	58553	22019	412172	102307	110762	103887	75391	45260	437607																																																					
Gard	155026	161129	160135	93690	48171	618151	79227	80067	79253	43509	17897	299953	75799	81062	80882	50181	30274	318198																																																					
Haute-Garonne	249902	332943	254978	125416	66227	1029466	127339	165430	125219	57460	24356	499804	122563	167513	129759	67956	41871	529662																																																					
Gers	35538	40734	44962	32925	18421	172580	18387	20710	22527	16031	7256	84911	17151	20024	22435	16894	11165	87669																																																					
Gironde	312195	376063	325094	170322	92779	1276453	159145	184733	159003	77151	32213	612245	153050	191330	166091	93171	60566	664208																																																					
Hérault	215973	253706	217425	129196	68590	884890	109949	122860	105203	59356	25661	423029	106024	130846	112222	69840	42929	461861																																																					
Ille-et-Vilaine	230053	260353	203277	110939	52673	857295	117185	130540	100907	50327	17734	416693	112868	129813	102370	60612	34939	440602																																																					
Indre	49749	57969	58945	41816	23773	232252	25493	29609	29973	19457	8796	113328	24256	28360	28972	22359	14977	118924																																																					
Indre-et-Loire	138818	156768	137259	76237	42416	551498	70121	77200	67707	35365	15489	265882	68697	79568	69552	40872	26927	285616																																																					
Isère	295495	323646	273978	131190	60894	1085203	151437	163585	136907	60916	21381	534226	144058	160061	137071	70274	39513	550977																																																					
Jura	63941	66406	62898	37711	19961	250917	32863	33696	31811	17507	7359	123236	31078	32710	31087	20204	12602	127681																																																					
Landes	72660	82379	83998	56927	29113	325077	37664	42052	41588	26573	10515	158392	34996	40327	42410	30354	18598	166685																																																					
Loir-et-Cher	75578	80949	78452	51138	28499	314616	38737	41005	39372	23990	10798	153902	36841	39944	39080	27148	17701	160714																																																					
Loire	187273	194959	185160	108609	55656	731657	95670	98046	91831	48529	19000	353076	91603	96913	93329	60080	36656	378581																																																					
Haute-Loire	49655	53658	52485	34566	17921	208285	25609	27677	27114	15865	6266	102531	24046	25981	25371	18701	11655	105754																																																					
Loire-Atlantique	305888	324307	280033	144886	68892	1124006	156051	162576	138139	64341	22990	544097	149837	161731	141894	80545	45902	579909																																																					
Loiret	163608	173988	154764	81712	42300	616372	83540	87050	77541	38001	15760	301892	80068	86938	77223	43711	26540	314480																																																					
Lot	33516	37283	40758	31177	16923	159657	17237	18932	20296	14766	6439	77670	16279	18351	20462	16411	10484	81987																																																					
Lot-et-Garonne	69957	73808	78115	53667	29421	304968	35918	36735	38532	25073	11179	147437	34039	37073	39583	28594	18242	157531																																																					
Lozère	16354	19015	18598	12307	7233	73507	8489	9899	9843	5998	2725	36954	7865	9116	8755	6309	4508	36553																																																					
Maine-et-Loire	205000	207308	172749	95015	49479	729551	104580	103743	85844	43464	17542	355173	100420	103565	86905	51551	31937	374378																																																					
Manche	125684	126269	114678	78102	36616	481349	64833	64651	58106	35734	12604	235928	60851	61618	56572	42368	24012	245421																																																					
Marne	151832	171500	140379	68241	33983	565935	77432	85975	70093	30964	11606	276070	74400	85525	70286	37277	22377	289865																																																					
Haute-Marne	50799	51895	49230	29647	14807	196378	26283	26555	25037	13699	5284	96858	24516	25340	24193	15948	9523	99520																																																					
Mayenne	76082	76751	67354	42173	21533	283893	39420	39691	33623	19788	7551	140073	36662	37060	33731	22385	13982	143820																																																					
Meurthe-et-Moselle	188218	211942	176103	96356	42443	715062	96314	105858	87467	43202	14046	346887	91904	106084	88636	53154	28397	368175																																																					
Meuse	50591	51691	47427	29293	13795	192797	26124	26767	24148	13466	4801	95306	24467	24924	23279	15827	8994	97491																																																					
Morbihan	162827	169061	157354	103280	47250	639772	83731	86837	78562	46458	15869	311457	79096	82224	78792	56822	31381	328315																																																					
Moselle	271186	300739	259259	139158	52574	1022916	139067	152313	130350	64165	17492	503387	132119	148426	128909	74993	35082	519529																																																					
Nièvre	50107	54272	58171	41532	22694	226776	25754	27642	29173	19118	8038	109725	24353	26630	28998	22414	14656	117051																																																					
Nord	757585	756941	598804	308003	133609	2554942	386941	377230	296687	133865	42367	1237090	370644	379711	302117	174138	91242	1317852																																																					
Oise	224165	223841	196445	82969	37691	765111	115392	112326	100479	38568	13163	379928	108773	111515	95966	44401	24528	385183																																																					
Orne	75165	75190	72164	47323	23070	292912	38762	38493	36263	22003	8065	143586	36403	36697	35901	25320	15005	149326																																																					
Pas-de-Calais	420076	402835	341816	191493	84275	1440495	215167	203112	170050	82626	26694	697649	204909	199723	171766	108867	57581	742846																																																					
Puy-de-Dôme	141210	171074	160264	87410	42895	602853	71808	85837	80337	39384	14906	292272	69402	85237	79927	48026	27989	310581																																																					
Pyrénées-Atlantiques	137369	158090	150875	95986	51925	594245	70731	79361	73755	43901	18211	285959	66638	78729	77120	52085	33714	308286																																																					
Hautes-Pyrénées	47714	55916	58707	39127	21300	222764	24600	28329	28995	17917	7680	107521	23114	27587	29712	21210	13620	115243																																																					
Pyrénées-Orientales	88433	96770	94334	70944	38570	389051	45243	47457	45300	32671	14844	185515	43190	49313	49034	38273	23726	203536																																																					
Bas-Rhin	263295	318861	253183	125447	55805	1016591	134189	159453	128415	56346	17322	495725	129106	159408	124768	69101	38483	520866																																																					
Haut-Rhin	185021	206582	180756	92441	38594	703394	94730	104194	92131	41950	12089	345094	90291	102388	88625	50491	26505	358300																																																					
Rhône	418163	481055	383384	190458	93155	1566215	212135	236490	187787	85622	31022	753056	206028	244565	195597	104836	62133	813159																																																					
Haute-Saône	59554	60421	58744	33448	16983	229150	30764	31085	30037	15511	6075	113472	28790	29336	28707	17937	10908	115678																																																					
Saône-et-Loire	130454	138385	141258	89773	47602	547472	67244	70509	71021	41261	16938	266973	63210	67876	70237	48512	30664	280499																																																					
Sarthe	136431	145162	128980	76720	40394	527687	69784	73609	64512	35453	14760	258118	66647	71553	64468	41267	25634	269569																																																					
Savoie	94527	106491	94865	49769	24245	369897	48642	53868	47789	22904	8425	181628	45885	52623	47076	26865	15820	188269																																																					
Haute-Savoie	169444	187078	164524	71560	33248	625854	87433	94288	82845	32938	11720	309224	82011	92790	81679	38622	21528	316630																																																					
Paris	407304	765258	536524	246059	156170	2111315	204644	371111	257130	105041	50620	988546	202660	394147	279394	141018	105550	1122769																																																					
Seine-Maritime	343207	356839	306105	156493	77140	1239784	175189	177062	152103	69570	25882	599806	168018	179777	154002	86923	51258	639978																																																					
Seine-et-Marne	355680	353291	310238	110254	53080	1182543	182197	174539	156876	51300	18286	583198	173483	178752	153362	58954	34794	599345																																																					
Yvelines	391616	398616	365116	138329	60046	1353723	200703	197270	181575	64945	20325	664818	190913	201346	183541	73384	39721	688905																																																					
Deux-Sèvres	83835	90196	86197	54983	29363	344574	43358	46052	43313	26160	11295	170178	40477	44144	42884	28823	18068	174396																																																					
Somme	149161	161403	134197	74101	35733	554595	75880	80905	67180	33586	12669	270220	73281	80498	67017	40515	23064	284375																																																					
Tarn	78193	83934	86962	60577	32963	342629	40332	42346	42904	28330	12516	166428	37861	41588	44058	32247	20447	176201																																																					
Tarn-et-Garonne	48527	52304	52163	33847	18678	205519	24931	26391	26124	15835	7225	100506	23596	25913	26039	18012	11453	105013																																																					
Var	211504	224309	227039	150819	77927	891598	108345	111266	110720	70118	29153	429602	103159	113043	116319	80701	48774	461996																																																					
Vaucluse	130393	132754	127173	70931	35697	496948	66806	65575	62855	32859	13017	241112	63587	67179	64318	38072	22680	255836																																																					
Vendée	135639	140330	130822	87082	41449	535322	69692	72006	65884	40757	15222	263561	65947	68324	64938	46325	26227	271761																																																					
Vienne	96394	114271	96850	58024	32402	397941	48826	56745	48247	27376	12171	193365	47568	57526	48603	30648	20231	204576																																																					
Haute-Vienne	75112	95119	91280	58554	33876	353941	38352	47176	45252	26713	12428	169921	36760	47943	46028	31841	21448	184020																																																					
Vosges	99780	101642	95834	56519	28016	381791	51303	51943	48482	25301	9278	186307	48477	49699	47352	31218	18738	195484																																																					
Yonne	83533	84370	83355	52440	29075	332773	43087	42672	42686	24304	10541	163290	40446	41698	40669	28136	18534	169483																																																					
Territoire de Belfort	36432	40314	34643	17655	8190	137234	18881	20999	17552	8035	2687	68154	17551	19315	17091	9620	5503	69080																																																					
Essonne	320668	349237	299925	115130	48693	1133653	163788	175196	149400	54149	16246	558779	156880	174041	150525	60981	32447	574874																																																					
Hauts-de-Seine	346798	469396	353524	163417	85975	1419110	176318	228630	172747	72038	28167	677900	170480	240766	180777	91379	57808	741210																																																					
Seine-Saint-Denis	402490	437812	347532	139888	58301	1386023	205085	213587	177114	63702	19506	678994	197405	224225	170418	76186	38795	707029																																																					
Val-de-Marne	315071	391721	312974	137993	67714	1225473	160388	192497	154860	61082	22361	591188	154683	199224	158114	76911	45353	634285																																																					
Val-d'Oise	334550	333218	285747	102990	44277	1100782	171021	163118	143117	47396	14590	539242	163529	170100	142630	55594	29687	561540																																																					
	15026922	16687479	14655116	7936339	3993106	58298962	7685889	8327069	7291089	3615840	1396294	28316181	7341033	8360410	7364027	4320499	2596812	29982781																																																					
Guadeloupe	126692	121010	83131	34172	15733	380738	64310	58100	39331	15589	6181	183511	62382	62910	43800	18583	9552	197227																																																					
Martinique	117345	116858	84003	40449	18566	377221	59335	55421	39117	18363	7081	179317	58010	61437	44886	22086	11485	197904																																																					
Guyane	66762	47755	27292	6178	2255	150242	33850	23630	14342	3155	933	75910	32912	24125	12950	3023	1322	74332																																																					
La Réunion	263183	228359	136181	47942	16519	692184	133629	111849	67415	21853	5690	340436	129554	116510	68766	26089	10829	351748																																																					
	573982	513982	330607	128741	53073	1600385	291124	249000	160205	58960	19885	779174	282858	264982	170402	69781	33188	821211																																																					
	15600904	17201461	14985723	8065080	4046179	59899347	7977013	8576069	7451294	3674800	1416179	29095355	7623891	8625392	7534429	4390280	2630000	30803992																																																					
																																																																							
																																																																							
																																																																							
