	Ensemble						Hommes						Femmes																																																									
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total																																																				
Ain	142732	143334	134761	61727	31777	514331	73202	72354	68634	29385	11555	255130	69530	70980	66127	32342	20222	259201																																																				
Aisne	148660	143757	134542	73929	35293	536181	76101	72581	68035	33374	12452	262543	72559	71176	66507	40555	22841	273638																																																				
Allier	73728	84220	90173	61283	35668	345072	37835	42607	44755	27663	12893	165753	35893	41613	45418	33620	22775	179319																																																				
Alpes-de-Haute-Provence	33148	34127	36710	23120	12410	139515	17130	16955	18443	11044	4753	68325	16018	17172	18267	12076	7657	71190																																																				
Hautes-Alpes	29865	31669	31668	18072	10064	121338	15342	15901	15862	8603	3882	59590	14523	15768	15806	9469	6182	61748																																																				
Alpes-Maritimes	222865	258647	258299	163391	107442	1010644	114270	124991	123373	73013	38312	473959	108595	133656	134926	90378	69130	536685																																																				
Ardèche	68296	71736	74762	45575	25520	285889	35256	36596	37623	21563	9239	140277	33040	35140	37139	24012	16281	145612																																																				
Ardennes	79480	78902	72306	41119	18645	290452	40964	40133	36692	18728	6462	142979	38516	38769	35614	22391	12183	147473																																																				
Ariège	29578	32606	35359	24666	14992	137201	15339	16538	17972	11631	5872	67352	14239	16068	17387	13035	9120	69849																																																				
Aube	75573	78913	75075	40522	22234	292317	38660	40029	37668	18413	7963	142733	36913	38884	37407	22109	14271	149584																																																				
Aude	69661	75342	78595	54167	31698	309463	35814	37922	38925	25258	12217	150136	33847	37420	39670	28909	19481	159327																																																				
Aveyron	55967	63208	67080	48832	28961	264048	29059	32826	33916	23106	11049	129956	26908	30382	33164	25726	17912	134092																																																				
Bouches-du-Rhône	462439	516980	477183	245917	131463	1833982	236699	253269	232632	112481	47473	882554	225740	263711	244551	133436	83990	951428																																																				
Calvados	175042	183814	161938	84668	42489	647951	88607	91714	80011	37768	14410	312510	86435	92100	81927	46900	28079	335441																																																				
Cantal	31497	37352	39539	27296	15293	150977	16263	19272	20367	12755	5687	74344	15234	18080	19172	14541	9606	76633																																																				
Charente	78726	85772	89152	54775	31403	339828	40515	43349	44298	25641	11513	165316	38211	42423	44854	29134	19890	174512																																																				
Charente-Maritime	127174	136146	144028	95910	53161	556419	65521	68329	70566	44751	20238	269405	61653	67817	73462	51159	32923	287014																																																				
Cher	73165	79636	82583	50907	28312	314603	37565	40295	41828	23771	10175	153634	35600	39341	40755	27136	18137	160969																																																				
Corrèze	47082	55952	60703	42913	26169	232819	24337	28931	30433	19637	9564	112902	22745	27021	30270	23276	16605	119917																																																				
Corse-du-Sud	27842	30341	31731	18782	9770	118466	14450	14634	15984	8836	3449	57353	13392	15707	15747	9946	6321	61113																																																				
Haute-Corse	32042	38492	37297	22052	11803	141686	16530	19151	19136	10490	4251	69558	15512	19341	18161	11562	7552	72128																																																				
Côte-d'Or	130027	147444	128420	64789	36019	506699	65576	72643	64093	29614	12843	244769	64451	74801	64327	35175	23176	261930																																																				
Côtes-d'Armor	129467	130074	137736	95498	49623	542398	66565	66710	68979	43021	16879	262154	62902	63364	68757	52477	32744	280244																																																				
Creuse	23587	27961	31327	25539	16183	124597	12168	14522	16196	11906	6014	60806	11419	13439	15131	13633	10169	63791																																																				
Dordogne	81310	90179	101762	73004	42152	388407	41850	45310	50495	34163	15972	187790	39460	44869	51267	38841	26180	200617																																																				
Doubs	134698	145228	126123	63367	29807	499223	68802	72935	62983	29424	10479	244623	65896	72293	63140	33943	19328	254600																																																				
Drôme	115260	113907	113645	62039	32803	437654	59353	56913	56460	28900	12110	213736	55907	56994	57185	33139	20693	223918																																																				
Eure	152484	148647	140546	66681	32560	540918	78318	74692	70974	30980	11506	266470	74166	73955	69572	35701	21054	274448																																																				
Eure-et-Loir	111610	109491	105332	52735	28539	407707	57134	55179	53403	24723	10733	201172	54476	54312	51929	28012	17806	206535																																																				
Finistère	210108	227685	211804	132683	69993	852273	107990	118041	106350	58142	23065	413588	102118	109644	105454	74541	46928	438685																																																				
Gard	155906	160060	163582	93332	49629	622509	79696	79523	80671	43556	18487	301933	76210	80537	82911	49776	31142	320576																																																				
Haute-Garonne	254103	334626	261775	125314	68390	1044208	129288	166259	128564	57651	25148	506910	124815	168367	133211	67663	43242	537298																																																				
Gers	35541	39924	45597	32573	18849	172484	18367	20259	22869	15852	7471	84818	17174	19665	22728	16721	11378	87666																																																				
Gironde	313783	374758	332241	169395	95895	1286072	160025	184076	162170	77066	33436	616773	153758	190682	170071	92329	62459	669299																																																				
Hérault	217996	254458	222396	128659	71028	894537	111121	123057	107339	59228	26715	427460	106875	131401	115057	69431	44313	467077																																																				
Ille-et-Vilaine	231285	260718	207846	111018	55244	866111	117773	130793	103175	50578	18782	421101	113512	129925	104671	60440	36462	445010																																																				
Indre	49336	56953	59436	41346	24294	231365	25254	29137	30226	19250	9015	112882	24082	27816	29210	22096	15279	118483																																																				
Indre-et-Loire	138850	155643	139596	75915	43686	553690	70086	76695	68800	35156	16120	266857	68764	78948	70796	40759	27566	286833																																																				
Isère	296337	323280	278362	131787	63012	1092778	151849	163517	138811	61466	22275	537918	144488	159763	139551	70321	40737	554860																																																				
Jura	63595	65597	63725	37379	20609	250905	32752	33230	32250	17354	7639	123225	30843	32367	31475	20025	12970	127680																																																				
Landes	72865	81860	85676	56647	30192	327240	37799	41777	42408	26459	10947	159390	35066	40083	43268	30188	19245	167850																																																				
Loir-et-Cher	75283	80019	79498	50932	29263	314995	38529	40544	39860	23907	11158	153998	36754	39475	39638	27025	18105	160997																																																				
Loire	185439	192205	186290	107661	57486	729081	94722	96762	92245	48238	19747	351714	90717	95443	94045	59423	37739	377367																																																				
Haute-Loire	49605	53343	53404	34293	18441	209086	25664	27481	27573	15792	6478	102988	23941	25862	25831	18501	11963	106098																																																				
Loire-Atlantique	306003	324446	285900	144611	72287	1133247	156177	162773	140934	64371	24430	548685	149826	161673	144966	80240	47857	584562																																																				
Loiret	163382	172310	157226	81356	43661	617935	83531	86153	78544	37996	16376	302600	79851	86157	78682	43360	27285	315335																																																				
Lot	33567	36837	41460	30821	17545	160230	17283	18692	20652	14644	6717	77988	16284	18145	20808	16177	10828	82242																																																				
Lot-et-Garonne	69748	72885	79384	53004	30461	305482	35795	36242	39057	24886	11613	147593	33953	36643	40327	28118	18848	157889																																																				
Lozère	16235	18863	18881	12141	7393	73513	8426	9873	9943	5908	2821	36971	7809	8990	8938	6233	4572	36542																																																				
Maine-et-Loire	204002	206400	175982	94482	51758	732624	103840	103502	87433	43198	18562	356535	100162	102898	88549	51284	33196	376089																																																				
Manche	124814	124124	116789	77462	38277	481466	64279	63545	59274	35373	13376	235847	60535	60579	57515	42089	24901	245619																																																				
Marne	150620	169577	142134	68092	34943	565366	76948	84977	70814	30978	11973	275690	73672	84600	71320	37114	22970	289676																																																				
Haute-Marne	49937	50787	49658	29407	15342	195131	25842	26007	25280	13599	5451	96179	24095	24780	24378	15808	9891	98952																																																				
Mayenne	75918	76402	68444	41907	22547	285218	39281	39517	34345	19615	8013	140771	36637	36885	34099	22292	14534	144447																																																				
