	Ensemble						Hommes						Femmes																																																																	
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total																																																												
Ain	152564	146329	160690	66927	40230	566740	78181	73624	80636	32435	15114	279990	74383	72705	80054	34492	25116	286750																																																												
Aisne	141723	132064	152396	66219	44659	537061	72541	65909	75962	30384	15966	260762	69182	66155	76434	35835	28693	276299																																																												
Allier	71834	75578	98440	55656	41801	343309	36854	38213	48712	25430	15326	164535	34980	37365	49728	30226	26475	178774																																																												
Alpes-de-Haute-Provence	36047	33002	44789	24983	15680	154501	18635	16202	22004	11962	6047	74850	17412	16800	22785	13021	9633	79651																																																												
Hautes-Alpes	31176	29853	37934	19128	12661	130752	15989	15022	18941	9095	4910	63957	15187	14831	18993	10033	7751	66795																																																												
Alpes-Maritimes	237971	256807	289337	167748	121321	1073184	122206	125112	137340	76227	44086	504971	115765	131695	151997	91521	77235	568213																																																												
Ardèche	71763	68840	87513	46299	31823	306238	36964	34540	43791	22191	11813	149299	34799	34300	43722	24108	20010	156939																																																												
Ardennes	73566	70314	81440	36902	23431	285653	37932	35511	40860	17203	8391	139897	35634	34803	40580	19699	15040	145756																																																												
Ariège	31810	31330	42582	23098	17469	146289	16339	15710	21414	10941	6880	71284	15471	15620	21168	12157	10589	75005																																																												
Aube	74016	74770	84671	39602	26645	299704	37827	37730	41927	18451	9637	145572	36189	37040	42744	21151	17008	154132																																																												
Aude	75872	76923	95357	54418	38452	341022	38752	38425	46859	25640	15039	164715	37120	38498	48498	28778	23413	176307																																																												
Aveyron	56837	59803	76928	45293	34516	273377	29360	30546	39032	21527	13378	133843	27477	29257	37896	23766	21138	139534																																																												
Bouches-du-Rhône	479982	510603	526532	257243	163045	1937405	245452	247722	251100	118971	59045	922290	234530	262881	275432	138272	104000	1015115																																																												
