	Ensemble						Hommes						Femmes												
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total							
Ain	160248	147635	169249	80387	45169	602688	81967	74784	85048	39443	17340	298582	78281	72851	84201	40944	27829	304106							
Aisne	140228	128538	149128	76668	47356	541918	71779	64461	74126	36432	17062	263860	68449	64077	75002	40236	30294	278058							
Allier	72372	69297	95820	61536	44572	343597	37126	34753	47434	29161	16459	164933	35246	34544	48386	32375	28113	178664							
Alpes-de-Haute-Provence	35838	32130	45775	29045	17775	160563	18664	15843	22400	13834	7042	77783	17174	16287	23375	15211	10733	82780							
Hautes-Alpes	31203	28776	39579	23068	14699	137325	15984	14366	19620	11230	5817	67017	15219	14410	19959	11838	8882	70308							
Alpes-Maritimes	235259	249592	289081	178837	128747	1081516	120715	122562	138656	81817	48377	512127	114544	127030	150425	97020	80370	569389							
Ardèche	73157	66538	88866	54102	35247	317910	37597	33208	44468	26140	13398	154811	35560	33330	44398	27962	21849	163099							
Ardennes	70672	66255	79738	41014	25296	282975	36809	33273	39890	19573	9251	138796	33863	32982	39848	21441	16045	144179							
Ariège	33294	31628	43368	26228	18756	153274	17230	15804	21626	12727	7402	74789	16064	15824	21742	13501	11354	78485							
Aube	74212	71437	81788	46252	29343	303032	37729	36257	40362	22142	10774	147264	36483	35180	41426	24110	18569	155768							
Aude	81501	75947	97778	62508	42059	359793	41707	37550	47671	29919	16511	173358	39794	38397	50107	32589	25548	186435							
Aveyron	58328	55978	76936	49791	38021	279054	30208	28453	38779	24045	15077	136562	28120	27525	38157	25746	22944	142492							
Bouches-du-Rhône	479246	498860	528860	289011	181135	1977112	243998	244534	252454	135305	67950	944241	235248	254326	276406	153706	113185	1032871							
Calvados	169283	169184	183536	99287	63367	684657	86282	84255	90163	46264	22566	329530	83001	84929	93373	53023	40801	355127							
Cantal	28526	29924	43331	26519	20160	148460	14568	15105	22183	12779	7564	72199	13958	14819	21148	13740	12596	76261							
Charente	77193	75108	100460	59025	41761	353547	39781	37904	49335	28234	15937	171191	37412	37204	51125	30791	25824	182356							
Charente-Maritime	134702	131677	169439	114737	75256	625811	69532	66105	82210	54470	29212	301529	65170	65572	87229	60267	46044	324282							
Cher	69051	65349	87606	54461	35653	312120	35370	33169	43348	26153	13487	151527	33681	32180	44258	28308	22166	160593							
Corrèze	49320	50327	67633	43286	33545	244111	25671	26077	33396	20508	12714	118366	23649	24250	34237	22778	20831	125745							
Corse-du-Sud	30002	34033	41958	24525	14658	145176	15535	16669	20686	11907	5726	70523	14467	17364	21272	12618	8932	74653							
Haute-Corse	35288	40953	46909	28241	16525	167916	18372	21017	23441	13790	6467	83087	16916	19936	23468	14451	10058	84829							
Côte-d'Or	123536	135371	141357	75903	48990	525157	63125	67469	69747	35811	18081	254233	60411	67902	71610	40092	30909	270924							
Côtes-d'Armor	139023	123384	160478	103472	69992	596349	71623	62549	79960	48725	25254	288111	67400	60835	80518	54747	44738	308238							
Creuse	23251	22468	35244	23352	18997	123312	11887	11637	17718	11464	7213	59919	11364	10831	17526	11888	11784	63393							
Dordogne	84848	80402	117723	79505	55115	417593	43553	39980	57753	38205	21464	200955	41295	40422	59970	41300	33651	216638							
Doubs	133794	138635	138007	74784	44414	529634	68550	70174	68104	35871	16902	259601	65244	68461	69903	38913	27512	270033							
Drôme	121962	110685	133973	76324	46110	489054	63190	54630	65862	36357	18032	238071	58772	56055	68111	39967	28078	250983							
Eure	155733	142563	163774	81524	45147	588741	79456	70835	81268	39258	16681	287498	76277	71728	82506	42266	28466	301243							
Eure-et-Loir	110575	102758	117929	60919	37941	430122	56787	51090	58472	29591	14703	210643	53788	51668	59457	31328	23238	219479							
Finistère	213787	206618	248659	141807	93900	904771	110181	106161	124444	65538	32103	438427	103606	100457	124215	76269	61797	466344							
Gard	173679	160039	199247	114642	68714	716321	88876	78597	96539	54476	26780	345268	84803	81442	102708	60166	41934	371053							
Haute-Garonne	302536	366419	330989	156837	96966	1253747	155101	185304	162974	73369	36564	613312	147435	181115	168015	83468	60402	640435							
Gers	39565	35771	54933	34427	24992	189688	20567	17760	27158	16772	10416	92673	18998	18011	27775	17655	14576	97015							
Gironde	346599	386355	393371	204749	130221	1461295	176238	190454	189889	95936	48179	700696	170361	195901	203482	108813	82042	760599							
Hérault	245500	269778	274256	163362	101407	1054303	124744	132106	130693	77102	39114	503759	120756	137672	143563	86260	62293	550544							
Ille-et-Vilaine	258743	268547	258815	127241	82657	996003	131187	135829	128815	59467	30857	486155	127556	132718	130000	67774	51800	509848							
Indre	48708	46060	65294	41563	30192	231817	24992	23143	32646	19811	11556	112148	23716	22917	32648	21752	18636	119669							
Indre-et-Loire	142637	145124	158615	87029	58746	592151	72528	71627	77739	40919	22722	285535	70109	73497	80876	46110	36024	306616							
Isère	318391	316186	324778	163295	94523	1217173	163966	159353	161311	78475	36205	599310	154425	156833	163467	84820	58318	617863							
Jura	63559	57238	72859	41381	27421	262458	32758	28538	36488	20105	10445	128334	30801	28700	36371	21276	16976	134124							
Landes	85925	82656	109143	67050	42742	387516	44139	41691	54171	32051	16528	188580	41786	40965	54972	34999	26214	198936							
Loir-et-Cher	77691	69634	90367	54252	39050	330994	40017	34715	44704	26023	15399	160858	37674	34919	45663	28229	23651	170136							
Loire	184965	177404	196979	117065	79238	755651	94758	89061	96766	55401	28488	364474	90207	88343	100213	61664	50750	391177							
Haute-Loire	52963	47157	62467	36983	24886	224456	27103	24008	31773	18059	9141	110084	25860	23149	30694	18924	15745	114372							
Loire-Atlantique	334678	334657	342635	173845	106874	1292689	171398	168329	168392	80582	38268	626969	163280	166328	174243	93263	68606	665720							
Loiret	166293	162658	175041	94451	59479	657922	85181	81508	86067	45555	23040	321351	81112	81150	88974	48896	36439	336571							
Lot	35566	32730	49859	34066	23776	175997	18190	16493	24426	16779	9408	85296	17376	16237	25433	17287	14368	90701							
Lot-et-Garonne	72948	69000	91268	58921	41739	333876	37813	34404	44275	28232	16573	161297	35135	34596	46993	30689	25166	172579							
Lozère	16707	16287	22304	13413	9090	77801	8770	8285	11645	6794	3599	39093	7937	8002	10659	6619	5491	38708							
Maine-et-Loire	207151	199357	205801	106653	72360	791322	105292	99632	101992	50060	27488	384464	101859	99725	103809	56593	44872	406858							
Manche	116405	106630	138792	81126	56927	499880	59467	54463	70071	38749	21127	243877	56938	52167	68721	42377	35800	256003							
Marne	139355	149062	151670	78081	46589	564757	71519	75092	74016	37022	16511	274160	67836	73970	77654	41059	30078	290597							
Haute-Marne	41566	40209	51666	30394	20025	183860	21434	20969	25745	14702	7330	90180	20132	19240	25921	15692	12695	93680							
Mayenne	80402	70021	82064	43864	32528	308879	41385	35671	41535	20828	12736	152155	39017	34350	40529	23036	19792	156724							
Meurthe-et-Moselle	176946	197623	194274	100538	63802	733183	90401	99495	94723	47208	22951	354778	86545	98128	99551	53330	40851	378405							
Meuse	46106	45759	54403	28772	19141	194181	23817	23879	27565	13966	6982	96209	22289	21880	26838	14806	12159	97972							
Morbihan	171436	158705	200468	121208	75583	727400	88470	80987	99707	56914	27355	353433	82966	77718	100761	64294	48228	373967							
Moselle	243157	269278	302414	146441	85169	1046459	124824	137478	149439	69162	31560	512463	118333	131800	152975	77279	53609	533996							
